meta_analytical_study,studyid,lat,lon,experiment_type,crop,crop_type,water_management,rain,irr,n_fer,p_fer,k_fer,texture,sbd,sph,soc,stn,bph,btc,btn,brate,phc_mean,phc_sd,phc_n,phr_mean,phr_sd,phr_n,clayall,sandall,clay,sand,rain_scaled,irr_scaled,n_fer_scaled,p_fer_scaled,k_fer_scaled,sbd_scaled,sph_scaled,soc_scaled,stn_scaled,bph_scaled,btc_scaled,btn_scaled,brate_scaled,clay_scaled,sand_scaled
Han22,6,40.6833,107.3,field,maize,grain,irrigation and rain,89.9,501.5,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,45,8.31111,0.0307700000000004,3,8.34188,0.041030000000001,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.504735291468219,6.62872582239041,1.90779748632698,5.76619198559978,-3.18357675395315,1.26616823564902,2.01261544641682,-0.107201101160611,-0.0566337102282614,-2.88745325943717,-0.779304311909947,-3.15814858826445,1.59303054063062,-0.810052919481361,0.340373228103595
Han22,7,40.6833,107.3,field,maize,grain,irrigation and rain,89.9,501.5,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,30,8.31111,0.0307700000000004,3,8.38974,0.0581200000000006,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.504735291468219,6.62872582239041,1.90779748632698,5.76619198559978,-3.18357675395315,1.26616823564902,2.01261544641682,-0.107201101160611,-0.0566337102282614,-2.88745325943717,-0.779304311909947,-3.15814858826445,0.773719734775847,-0.810052919481361,0.340373228103595
Han22,8,40.6833,107.3,field,maize,grain,irrigation and rain,89.9,501.5,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,15,8.31111,0.0307700000000004,3,8.30085,0.0307699999999986,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.504735291468219,6.62872582239041,1.90779748632698,5.76619198559978,-3.18357675395315,1.26616823564902,2.01261544641682,-0.107201101160611,-0.0566337102282614,-2.88745325943717,-0.779304311909947,-3.15814858826445,-0.0455910710789248,-0.810052919481361,0.340373228103595
Han22,9,40.6833,107.3,field,maize,grain,irrigation and rain,119.1,501.5,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,30,8.45172,0.0482800000000001,3,8.54138,0.0482800000000001,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.447647882059541,6.62872582239041,1.90779748632698,5.76619198559978,-3.18357675395315,1.26616823564902,2.01261544641682,-0.107201101160611,-0.0566337102282614,-2.88745325943717,-0.779304311909947,-3.15814858826445,0.773719734775847,-0.810052919481361,0.340373228103595
Han22,10,40.6833,107.3,field,maize,grain,irrigation and rain,119.1,501.5,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,45,8.45172,0.0482800000000001,3,8.64483,0.0551699999999986,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.447647882059541,6.62872582239041,1.90779748632698,5.76619198559978,-3.18357675395315,1.26616823564902,2.01261544641682,-0.107201101160611,-0.0566337102282614,-2.88745325943717,-0.779304311909947,-3.15814858826445,1.59303054063062,-0.810052919481361,0.340373228103595
Han22,11,40.6833,107.3,field,maize,grain,irrigation and rain,119.1,501.5,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,15,8.45172,0.0482800000000001,3,8.58966,0.0413700000000006,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.447647882059541,6.62872582239041,1.90779748632698,5.76619198559978,-3.18357675395315,1.26616823564902,2.01261544641682,-0.107201101160611,-0.0566337102282614,-2.88745325943717,-0.779304311909947,-3.15814858826445,-0.0455910710789248,-0.810052919481361,0.340373228103595
Han22,12,40.6833,107.3,field,maize,grain,irrigation and rain,89.9,375.4,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,45,8.43761,0.02393,3,8.31111,0.0376100000000008,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.504735291468219,3.53093091569274,1.90779748632698,5.76619198559978,-3.18357675395315,1.26616823564902,2.01261544641682,-0.107201101160611,-0.0566337102282614,-2.88745325943717,-0.779304311909947,-3.15814858826445,1.59303054063062,-0.810052919481361,0.340373228103595
Han22,13,40.6833,107.3,field,maize,grain,irrigation and rain,89.9,375.4,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,30,8.43761,0.02393,3,8.34872,0.0547000000000004,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.504735291468219,3.53093091569274,1.90779748632698,5.76619198559978,-3.18357675395315,1.26616823564902,2.01261544641682,-0.107201101160611,-0.0566337102282614,-2.88745325943717,-0.779304311909947,-3.15814858826445,0.773719734775847,-0.810052919481361,0.340373228103595
Han22,14,40.6833,107.3,field,maize,grain,irrigation and rain,89.9,375.4,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,15,8.43761,0.02393,3,8.42051,0.0410299999999992,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.504735291468219,3.53093091569274,1.90779748632698,5.76619198559978,-3.18357675395315,1.26616823564902,2.01261544641682,-0.107201101160611,-0.0566337102282614,-2.88745325943717,-0.779304311909947,-3.15814858826445,-0.0455910710789248,-0.810052919481361,0.340373228103595
Han22,15,40.6833,107.3,field,maize,grain,irrigation and rain,119.1,375.4,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,30,8.45172,0.0482800000000001,3,8.53103,0.0482800000000001,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.447647882059541,3.53093091569274,1.90779748632698,5.76619198559978,-3.18357675395315,1.26616823564902,2.01261544641682,-0.107201101160611,-0.0566337102282614,-2.88745325943717,-0.779304311909947,-3.15814858826445,0.773719734775847,-0.810052919481361,0.340373228103595
Han22,16,40.6833,107.3,field,maize,grain,irrigation and rain,119.1,375.4,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,15,8.45172,0.0482800000000001,3,8.55172,0.0586200000000012,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.447647882059541,3.53093091569274,1.90779748632698,5.76619198559978,-3.18357675395315,1.26616823564902,2.01261544641682,-0.107201101160611,-0.0566337102282614,-2.88745325943717,-0.779304311909947,-3.15814858826445,-0.0455910710789248,-0.810052919481361,0.340373228103595
