meta_analytical_study,studyid,lat,lon,experiment_type,crop,crop_type,water_management,rain,irr,n_fer,p_fer,k_fer,texture,sbd,sph,soc,stn,bph,btc,btn,brate,nuec_mean,nuec_sd,nuec_n,nuer_mean,nuer_sd,nuer_n,clayall,sandall,clay,sand,rain_scaled,irr_scaled,n_fer_scaled,p_fer_scaled,k_fer_scaled,sbd_scaled,sph_scaled,soc_scaled,stn_scaled,bph_scaled,btc_scaled,btn_scaled,brate_scaled,clay_scaled,sand_scaled
Han22,1,35.2,107.6667,field,maize,grain,rainfed,725,225,150,75,80,loam,1.4,8.1,9.5,0.95,9.8,489.6,9.8,14,53.6606666666667,3.09385939733333,3,53.6606666666667,2.82544874266667,3,26.4,30.5,26.4,30.5,3.10485634882731,-0.117688979385354,-0.686043386009693,-0.600753905305726,-0.0750070913816009,0.735107064906323,0.96838602387531,-0.127781221634916,-0.0408011328836875,0.347663357835925,-0.0250142522723516,-0.0507322404547346,-0.272264221248018,0.0748791492440736,0.298790501186344
Han22,6,40.6833,107.3,field,maize,grain,irrigation and rain,89.9,501.5,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,45,35.4277286135693,2.04262112094395,3,41.4454277286136,2.18226755162242,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.509642642649493,3.33236576907353,1.30080989649842,1.16840410708854,-1.99123696923518,1.36268517085029,1.25890243503374,-0.127781221634916,-0.0408011328836875,-0.686387491043687,-0.300581480792004,-1.48126205130072,1.77427155091533,-1.295812663469,0.520986728621079
Han22,7,40.6833,107.3,field,maize,grain,irrigation and rain,89.9,501.5,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,30,35.4277286135693,2.04262112094395,3,42.1238938053097,2.21799150442478,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.509642642649493,3.33236576907353,1.30080989649842,1.16840410708854,-1.99123696923518,1.36268517085029,1.25890243503374,-0.127781221634916,-0.0408011328836875,-0.686387491043687,-0.300581480792004,-1.48126205130072,0.784012306320164,-1.295812663469,0.520986728621079
Han22,8,40.6833,107.3,field,maize,grain,irrigation and rain,89.9,501.5,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,15,35.4277286135693,2.04262112094395,3,43.0088495575221,2.26458796460177,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.509642642649493,3.33236576907353,1.30080989649842,1.16840410708854,-1.99123696923518,1.36268517085029,1.25890243503374,-0.127781221634916,-0.0408011328836875,-0.686387491043687,-0.300581480792004,-1.48126205130072,-0.206246938275006,-1.295812663469,0.520986728621079
Han22,9,40.6833,107.3,field,maize,grain,irrigation and rain,119.1,501.5,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,30,35.0442477876106,2.02051115044248,3,36.4896755162242,1.92132737463127,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.343458780972399,3.33236576907353,1.30080989649842,1.16840410708854,-1.99123696923518,1.36268517085029,1.25890243503374,-0.127781221634916,-0.0408011328836875,-0.686387491043687,-0.300581480792004,-1.48126205130072,0.784012306320164,-1.295812663469,0.520986728621079
Han22,10,40.6833,107.3,field,maize,grain,irrigation and rain,119.1,501.5,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,45,35.0442477876106,2.02051115044248,3,35.929203539823,1.89181628318584,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.343458780972399,3.33236576907353,1.30080989649842,1.16840410708854,-1.99123696923518,1.36268517085029,1.25890243503374,-0.127781221634916,-0.0408011328836875,-0.686387491043687,-0.300581480792004,-1.48126205130072,1.77427155091533,-1.295812663469,0.520986728621079
Han22,11,40.6833,107.3,field,maize,grain,irrigation and rain,119.1,501.5,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,15,35.0442477876106,2.02051115044248,3,37.3746312684366,1.96792383480826,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.343458780972399,3.33236576907353,1.30080989649842,1.16840410708854,-1.99123696923518,1.36268517085029,1.25890243503374,-0.127781221634916,-0.0408011328836875,-0.686387491043687,-0.300581480792004,-1.48126205130072,-0.206246938275006,-1.295812663469,0.520986728621079
Han22,12,40.6833,107.3,field,maize,grain,irrigation and rain,89.9,375.4,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,45,37.7581120943953,2.17698171091445,3,42.6843657817109,2.24750259587021,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.509642642649493,1.75894116227185,1.30080989649842,1.16840410708854,-1.99123696923518,1.36268517085029,1.25890243503374,-0.127781221634916,-0.0408011328836875,-0.686387491043687,-0.300581480792004,-1.48126205130072,1.77427155091533,-1.295812663469,0.520986728621079
Han22,13,40.6833,107.3,field,maize,grain,irrigation and rain,89.9,375.4,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,30,37.7581120943953,2.17698171091445,3,42.8613569321534,2.25682188790561,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.509642642649493,1.75894116227185,1.30080989649842,1.16840410708854,-1.99123696923518,1.36268517085029,1.25890243503374,-0.127781221634916,-0.0408011328836875,-0.686387491043687,-0.300581480792004,-1.48126205130072,0.784012306320164,-1.295812663469,0.520986728621079
Han22,14,40.6833,107.3,field,maize,grain,irrigation and rain,89.9,375.4,339,192,17,sandy loam,1.46,8.5,9.5,0.95,9,472,7,15,37.7581120943953,2.17698171091445,3,44.0412979351032,2.31895050147493,3,21.02450397,32.2639881,21.02450397,32.2639881,-0.509642642649493,1.75894116227185,1.30080989649842,1.16840410708854,-1.99123696923518,1.36268517085029,1.25890243503374,-0.127781221634916,-0.0408011328836875,-0.686387491043687,-0.300581480792004,-1.48126205130072,-0.206246938275006,-1.295812663469,0.520986728621079
