meta_analytical_study,no.,sources,year_of_experiment,country,lat,lon,experiment_type,crop,crop_type,water_magement,rainfallmm,irrigation_amountmm,n_fertilizerkg_ha,p_fertilizerkg_ha,k_fertilizerkg_ha,soil_texture,bulk_densityg_cm3,s_phwater,s_socg_kg,s_tng_kg,s_c:n,b_phwater,b_totalcg_kg,b_totalng_kg,b_c:n,biochar_ratet_ha,yc_mean,yc_sd,yc_n,yr_mean,yr_sd,yr_n,nuec_mean,nuec_sd,nuec_n,nuer_mean,nuer_sd,nuer_n,socc_mean,socc_sd,socc_n,socr_mean,socr_sd,socr_n,phc_mean,phc_sd,phc_n,phr_mean,phr_sd,phr_n,sbdc_mean,sbdc_sd,sbdc_n,sbdr_mean,sbdr_sd,sbdr_n
,15,Yang  et al. (2022）,,China,40.6833,107.3,field,maize,grain,irrigation and rain,119.1,375.4,339,192,17,sandy loam,1.46,8.5,,,,9,47.2,0.7,67.4285714285714,30,11.9,1.41,3,12.71,1.07,3,35.1032448377581,2.02391268436578,3,37.4926253687316,1.97413669616519,3,,,,,,,8.45172,0.0482800000000001,3,8.53103,0.0482800000000001,3,,,,,,
,16,Yang  et al. (2022）,,China,40.6833,107.3,field,maize,grain,irrigation and rain,119.1,375.4,339,192,17,sandy loam,1.46,8.5,,,,9,47.2,0.7,67.4285714285714,15,11.9,1.41,3,12.97,1.23,3,35.1032448377581,2.02391268436578,3,38.259587020649,2.01452029498525,3,,,,,,,8.45172,0.0482800000000001,3,8.55172,0.0586200000000012,3,,,,,,
,17,Yang  et al. (2022）,,China,40.6833,107.3,field,maize,grain,irrigation and rain,119.1,375.4,339,192,17,sandy loam,1.46,8.5,,,,9,47.2,0.7,67.4285714285714,45,11.9,1.41,3,12.31,1.23,3,35.1032448377581,2.02391268436578,3,36.3126843657817,1.91200808259587,3,,,,,,,8.45172,0.0482800000000001,3,8.54138,0.0310299999999994,3,,,,,,
,18,Abbas et al.(2020),,Pakistan,31.4333,73.066699999999997,pot,maize,grain,irrigation,,,220,180,120,sandy clay loam,,7.95,,,,7.03,,1.38,38,,132,0.95,3,164,6.7,3,30,1.72968,3,37.2727272727273,1.96255818181818,3,0.49,0.03,3,0.54,0.03,3,7.92,0.03,3,7.85,0.02,3,,,,,,
,19,Agb et al.(2017),,China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,,83,133.33333333333334,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,25,10251.8,449.6,3,12679.9,359.7,3,76.8885,4.433083356,3,95.09925,5.0073559095,3,,,,,,,,,,,,,,,,,,
,20,Agb et al.(2017),,China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,,83,133.33333333333334,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,50,10251.8,449.6,3,13759,449.6,3,76.8885,4.433083356,3,103.1925,5.433497895,3,,,,,,,,,,,,,,,,,,
,21,Agb et al.(2017),,China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,,100.9,133.33333333333334,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,25,9288.7,502.089999999999,3,10711.3,418.4,3,69.66525,4.016619654,3,80.33475,4.2299459265,3,,,,,,,,,,,,,,,,,,
,22,Agb et al.(2017),,China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,,100.9,133.33333333333334,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,50,9288.7,502.089999999999,3,11882.8,753.2,3,69.66525,4.016619654,3,89.121,4.692577134,3,,,,,,,,,,,,,,,,,,
,23,Agb et al.(2017),,China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,,108.2,133.33333333333334,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,25,15197.8,629.499999999998,3,18345.3,179.9,3,113.9835,6.571832676,3,137.58975,7.2446506965,3,,,,,,,,,,,,,,,,,,
,24,Agb et al.(2017),,China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,,108.2,133.33333333333334,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,50,15197.8,629.499999999998,3,19514.4,269.8,3,113.9835,6.571832676,3,146.358,7.706334132,3,,,,,,,,,,,,,,,,,,
,25,Agb et al.(2017),,China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,,78.1,133.33333333333334,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,25,12410.1,989.2,3,15107.9,449.7,3,93.07575,5.366375442,3,113.30925,5.9661852495,3,,,,,,,,,,,,,,,,,,
,26,Agb et al.(2017),,China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,,78.1,133.33333333333334,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,50,12410.1,989.2,3,16906.5,1169,3,93.07575,5.366375442,3,126.79875,6.6764613825,3,,,,,,,,,,,,,,,,,,
,27,Agb et al.(2017),,China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,,123.6,133.33333333333334,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,25,13974.9,1087.9,3,17154.8,502.099999999999,3,104.81175,6.043026258,3,128.661,6.774516294,3,,,,,,,,,,,,,,,,,,
,28,Agb et al.(2017),,China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,,123.6,133.33333333333334,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,50,13974.9,1087.9,3,18075.3,669.500000000003,3,104.81175,6.043026258,3,135.56475,7.1380263465,3,,,,,,,,,,,,,,,,,,
,29,Agb et al.(2017),,China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,,133.4,133.33333333333334,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,25,10543.9,1171.6,3,13054.4,585.800000000001,3,79.07925,4.559393238,3,97.908,5.155247832,3,,,,,,,,,,,,,,,,,,
,30,Agb et al.(2017),,China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,,133.4,133.33333333333334,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,50,10543.9,1171.6,3,13891.2,753.2,3,79.07925,4.559393238,3,104.184,5.485704336,3,,,,,,,,,,,,,,,,,,
,31,Agegnehu et al. (2015）,,Australia,-17.0167,145.4,field,peanut,industrial crop,rainfed,541,,26.6,31.6,66.2,clay loam,0.55,6.2,8.9,6,14.8,,,,,10,5617,1171.6,3,6910,753.2,3,211.165413533835,12.1749530827068,3,259.774436090226,13.6781631578947,3,1,0.062,3,1.08,0.06912,3,6.6,0.099,3,6.7,0.603,3,0.97,0.01261,3,0.91,0.0182,3
,32,Agegnehu et al. (2015）,,Australia,-17.0167,145.4,field,peanut,industrial crop,rainfed,541,,26.6,31.6,66.2,clay loam,0.55,6.2,8.1,7,14.9,,,,,2.5,6552,1171.6,3,6786,753.2,3,246.315789473684,14.2015831578947,3,255.112781954887,13.4327084210526,3,1.08,0.06696,3,1.01,0.06464,3,6.8,0.102,3,6.9,0.621,3,0.93,0.01209,3,0.96,0.0192,3
,33,Ahmed  et al. (2019）,,China,39.9667,166.3167,pot,brassica chinensis,vegetable,irrigation,,,300,150,300,loam,1.46,8.15,,1.07,,8.85,,19.5,,20,79.5,2.75,5,87.4,11.02,5,0.265,0.01527884,5,0.291333333333333,0.0153398653333333,5,,,,,,,8.03,0.095,5,8.1,0.137,5,1.428,0.0416,5,1.43,0.077,5
,34,Ahmed  et al. (2019）,,China,39.9667,166.3167,pot,brassica chinensis,vegetable,irrigation,,,300,150,300,loam,1.46,8.15,,1.07,,8.85,,19.5,,20,61.95,3.65,5,66.12,6.81,5,0.2065,0.011905964,5,0.2204,0.0116049416,5,,,,,,,8.03,0.105,5,8.01,0.096,5,1.4275,0.0505,5,1.4253,0.0275,5
,35,Akhtar  et al. (2014）,,China,40.0167,116.2833,pot,tomato,vegetable,irrigation,,22.7,250,180,180,sandy loam,1.63,8.02,9.75,0.83,11.7469879518072,10.64,623,10.5,59.3333333333333,,133.585,13.585,3,159.623,6.792,3,3.35861936,0.11652594733696,3,4.32195288,0.15011206844224,3,,,,,,,,,,,,,,,,,,
,36,Akhtar  et al. (2014）,,China,40.0167,116.2833,pot,tomato,vegetable,irrigation,,32.5,250,180,180,sandy loam,1.63,8.02,9.75,0.83,11.7469879518072,10.64,623,10.5,59.3333333333333,,104.151,9.057,3,109.811,5.66099999999999,3,1.863797,0.17684474378144,3,3.951259,0.24918651524928,3,,,,,,,,,,,,,,,,,,
