meta_analytical_study,no.,sources,year_of_experiment,country,lat,lon,experiment_type,crop,crop_type,water_magement,rainfallmm,irrigation_amountmm,n_fertilizerkg_ha,p_fertilizerkg_ha,k_fertilizerkg_ha,soil_texture,bulk_densityg_cm3,s_phwater,s_socg_kg,s_tng_kg,s_c:n,b_phwater,b_totalcg_kg,b_totalng_kg,b_c:n,biochar_ratet_ha,yc_mean,yc_sd,yc_n,yr_mean,yr_sd,yr_n,nuec_mean,nuec_sd,nuec_n,nuer_mean,nuer_sd,nuer_n,socc_mean,socc_sd,socc_n,socr_mean,socr_sd,socr_n,phc_mean,phc_sd,phc_n,phr_mean,phr_sd,phr_n,sbdc_mean,sbdc_sd,sbdc_n,sbdr_mean,sbdr_sd,sbdr_n
,249,rizhiya et al.(2019),,russia,59.5667,30.133299999999998,pot,barley,grain,rainfed,401,,90,,,loamy sand,1.2,6.5,23,1.9,12.1052631578947,7,825.5,5.73,144.066317626527,12,4019.35,225.81,5,5690.32,451.62,5,44.6594444444445,2.57488492888889,5,63.2257777777778,3.32909010311111,5,,,,,,,,,,,,,,,,,,
,250,rizhiya et al.(2019),,russia,59.5667,30.133299999999998,pot,barley,grain,rainfed,401,,90,,,loamy sand,1.4,5.6,18,1.6,11.25,7,825.5,5.73,144.066317626527,12,4109.68,316.13,5,4606.45,270.97,5,45.6631111111111,2.63275233422222,5,51.1827777777778,2.69497798111111,5,,,,,,,,,,,,,,,,,,
,251,Schillem et al.(2019),,Germany,,,pot,wheat,grain,irrigation,,16.3,120,,,silt,,,,,,6.2,,,30,15.3,6165.64,1840.49,8,7085.89,1472.39,8,17.2376,4.9723,8,20.663,5.0829,8,,,,,,,,,,,,,,,,,,
,252,Seki et al. (2022),,India,9.7167,77.7667,field,sorghum,grain,rainfed,218,,100,,,sandy clay loam,,8.5,3.2,,,,,,,15,166.667,22.222,3,166.667,44.445,3,1.66667,0.03363276276,3,1.66667,0.03217738594,3,,,,,,,,,,,,,,,,,,
,253,Seki et al. (2022),,India,9.7167,77.7667,field,sorghum,grain,rainfed,218,,100,,,sandy clay loam,,8.5,3.2,,,8,515.5,10.6,48.4,15,116.667,6.533,3,122.222,6.84,3,0.583335,0.6021823264,3,0.61111,0.6464752812,3,,,,,,,,,,,,,,,,,,
,254,Seki et al. (2022),,India,9.7167,77.7667,field,sorghum,grain,rainfed,531,,100,,,sandy clay loam,,8.5,3.2,,,,,,,15,1044.44,77.7800000000002,3,1227.78,55.5600000000001,3,10.4444,0.3123023724,3,12.2778,0.3144602188,3,,,,,,,,,,,,,,,,,,
,255,Seki et al. (2022),,India,9.7167,77.7667,field,sorghum,grain,rainfed,531,,100,,,sandy clay loam,,8.5,3.2,,,7.8,119.9,12.4,9.6,15,1055.56,83.333,3,972.222,161.113,3,5.2778,0.17456968368,3,4.86111,0.2837471406,3,,,,,,,,,,,,,,,,,,
,256,Seki et al. (2022),,India,9.7167,77.7667,field,sorghum,grain,rainfed,606,,100,,,sandy clay loam,,8.5,3.2,,,,,,,15,1083.33,105.55,3,1194.44,61.1080000000001,3,5.41665,0.3042968368,3,5.9722,0.25595688594,3,,,,,,,,,,,,,,,,,,
,257,Seki et al. (2022),,India,9.7167,77.7667,field,sorghum,grain,rainfed,606,,100,,,sandy clay loam,,8.5,3.2,,,7.8,119.9,12.4,9.6,15,605.556,166.666,3,1077.78,11.111,3,3.02778,0.09609352552,3,5.3889,0.08775684218,3,,,,,,,,,,,,,,,,,,
,258,Sharma et al.(2021),, India,32.6667,78.8,field,knolkhol,vegetable,rainfed,,,197.1,,19.28,sandy clay loam,1.33,7.4,6.4,,,8.9,,,,10,181.959,3.52199999999999,3,187.526,3.518,3,0.923181126331811,0.1311378513,3,0.95142567224759,0.12342492505,3,,,,,,,,,,,,,,,,,,
,259,Sharma et al.(2021),, India,32.6667,78.8,field,knolkhol,vegetable,rainfed,,,196.7,,19.28,sandy clay loam,1.33,7.4,6.4,,,8.9,,,,10,122.306,3.52200000000001,3,127.875,3.51300000000001,3,0.62178952719878,0.0881459342,3,0.650101677681749,0.084164128125,3,,,,,,,,,,,,,,,,,,
,260,Sharma et al.(2021),, India,32.6667,78.8,field,knolkhol,vegetable,rainfed,,,197.9,,19.28,sandy clay loam,1.33,7.4,6.4,,,8.9,,,,10,183.654,7.618,3,197.41,7.62100000000001,3,0.928014148559879,0.1323594378,3,0.997524002021223,0.12993032675,3,,,,,,,,,,,,,,,,,,
,261,Sharma et al.(2021),, India,32.6667,78.8,field,knolkhol,vegetable,rainfed,,,395,,19.28,sandy clay loam,1.33,7.4,6.4,,,8.9,,,,10,187.689,16.985,3,219.594,16.402,3,0.475162025316456,0.1352674623,3,0.55593417721519,0.14453128095,3,,,,,,,,,,,,,,,,,,
,262,Speratt et al.(2018),,Brazil,-15.2167,-54.95,pot,maize,grain,irrigation,,2.7,350,150,300,sand,1.6,5.8,7,0.8,8.75,10,548,31,17.6774193548387,16,16.05714,2.90713,4,10.45,0.635719999999999,4,0.0458775428571429,0.00264511561097143,4,0.0298571428571429,0.001572098,4,0.854167,0.03125,4,1.33333,0.16667,4,,,,,,,,,,,,
,263,Speratt et al.(2018),,Brazil,-15.2167,-54.95,pot,maize,grain,irrigation,,3.4,350,150,300,sand,1.6,5.8,7,0.8,8.75,8.6,281,29,9.68965517241379,16,16.05714,2.90713,4,18.3,1.0071,4,0.0458775428571429,0.00264511561097143,4,0.0522857142857143,0.002753052,4,0.854167,0.03125,4,0.96875,0.0416700000000001,4,,,,,,,,,,,,
,264,Speratt et al.(2018),,Brazil,-15.2167,-54.95,pot,maize,grain,irrigation,,3.4,350,150,300,sand,1.6,5.8,7,0.8,8.75,7.7,546,16,34.125,16,16.05714,2.90713,4,16.121443,1.62136,4,0.0458775428571429,0.00264511561097143,4,0.0460612657142857,0.00183537236276,4,0.854167,0.03125,4,1.10417,0.0625,4,,,,,,,,,,,,
,265,Speratt et al.(2018),,Brazil,-15.2167,-54.95,pot,maize,grain,irrigation,,3,350,150,300,sand,1.6,5.8,7,0.8,8.75,9.2,254,28,9.07142857142857,16,16.05714,2.90713,4,12.200029,1.8643,4,0.0458775428571429,0.00264511561097143,4,0.0348572257142857,0.00242530988492,4,0.854167,0.03125,4,1.03125,0.09375,4,,,,,,,,,,,,
,266,Sun et al. (2018),,China,35.2,107.7333,field,wheat,grain,rainfed,262.60000000000002,,180,90,,clay,1.3,8.4,9.92,,,9.9,505.4,,,15,3921.57,156.86,3,4627.45,78.4300000000003,3,21.7865,1.256122444,3,25.7080555555556,1.35363195722222,3,,,,,,,,,,,,,,,,,,
,267,Sun et al. (2018),,China,35.2,107.7333,field,wheat,grain,rainfed,262.60000000000002,,180,90,,clay,1.3,8.4,9.92,,,9.9,505.4,,,30,5725.49,156.86,3,6431.37,78.4300000000003,3,31.8082777777778,1.256122444,3,35.7298333333333,1.88131864433333,3,,,,,,,,,,,,,,,,,,
,268,Sun et al. (2018),,China,35.2,107.7333,field,wheat,grain,rainfed,262.60000000000002,,180,90,,clay,1.3,8.4,9.92,,,9.9,505.4,,,45,3921.57,156.86,3,4392.16,78.4300000000003,3,21.7865,1.256122444,3,24.4008888888889,1.28480440355556,3,,,,,,,,,,,,,,,,,,
,269,Sun et al. (2018),,China,35.2,107.7333,field,wheat,grain,rainfed,234.6,,180,90,,clay,1.3,8.4,9.92,,,9.9,505.4,,,15,5725.49,156.86,3,6666.67,78.4300000000003,3,31.8082777777778,1.83393806355556,3,37.0370555555556,1.95014912322222,3,,,,,,,,,,,,,,,,,,
,270,Sun et al. (2018),,China,35.2,107.7333,field,wheat,grain,rainfed,234.6,,180,90,,clay,1.3,8.4,9.92,,,9.9,505.4,,,30,3921.57,156.86,3,4156.86,78.4300000000003,3,21.7865,1.83393806355556,3,23.0936666666667,1.21597392466667,3,,,,,,,,,,,,,,,,,,
,271,Sun et al. (2018),,China,35.2,107.7333,field,wheat,grain,rainfed,234.6,,180,90,,clay,1.3,8.4,9.92,,,9.9,505.4,,,45,5725.49,156.86,3,6274.51,78.4300000000003,3,31.8082777777778,1.83393806355556,3,34.8583888888889,1.83543360855556,3,,,,,,,,,,,,,,,,,,
,272,Sun et al.(2020),,China,38.3167,109.7,field,millet,grain,rainfed,615.29999999999995,,270,135,75,clay,1.51,8.1,1.65,0.02,82.5,10.5,585,8.1,72.2222222222222,4.5,4018.3,57.6,3,3349.8,137.8,3,14.8825925925926,1.74422212444444,3,12.4066666666667,2.28986395555556,3,,,,,,,,,,,,,,,,,,
,273,Sun et al.(2020),,China,38.3167,109.7,field,millet,grain,rainfed,421.9,,270,135,75,sand,1.57,7.4,1.53,0.08,19.125,10.5,585,8.1,72.2222222222222,4.5,3168.5,76.8,3,4898.75,170.1,3,11.7351851851852,0.858070758518519,3,18.1435185185185,0.653260626666667,3,,,,,,,,,,,,,,,,,,
,274,Sun et al.(2020),,China,38.3167,109.7,field,millet,grain,rainfed,421.9,,90,45,75,sand,1.57,7.4,1.53,0.08,19.125,10.5,585,8.1,72.2222222222222,4.5,2722.7,76.9,3,3914,199.5,3,30.2522222222222,1.35107226666667,3,43.4888888888889,1.68609808888889,3,,,,,,,,,,,,,,,,,,
,275,Sun et al.(2020),,China,38.3167,109.7,field,millet,grain,rainfed,615.29999999999995,,90,45,75,sand,1.57,7.4,1.53,0.08,19.125,10.5,585,8.1,72.2222222222222,4.5,2109,78.5,3,2882,87.1,3,23.4333333333333,0.676603837037037,3,32.0222222222222,0.955328824074074,3,,,,,,,,,,,,,,,,,,
,276,Sun et al.(2020),,China,38.3167,109.7,field,millet,grain,rainfed,615.29999999999995,,270,135,75,sand,1.57,7.4,1.53,0.08,19.125,10.5,585,8.1,72.2222222222222,4.5,3439.7,93.1,3,5024.7,287.5,3,12.7396296296296,2.06683947555556,3,18.61,2.08024253111111,3,,,,,,,,,,,,,,,,,,
,277,Sun et al.(2020),,China,38.3167,109.7,field,millet,grain,rainfed,421.9,,90,45,75,clay,1.51,8.1,1.65,0.02,82.5,10.5,585,8.1,72.2222222222222,4.5,3226.3,122.5,3,3555.7,202.3,3,35.8477777777778,1.42237352,3,39.5077777777778,1.25217062444444,3,,,,,,,,,,,,,,,,,,
,278,Sun et al.(2020),,China,38.3167,109.7,field,millet,grain,rainfed,421.9,,270,135,75,clay,1.51,8.1,1.65,0.02,82.5,10.5,585,8.1,72.2222222222222,4.5,4452,237.7,3,4092.3,240.8,3,16.4888888888889,0.734516085925926,3,15.1566666666667,0.97989094,3,,,,,,,,,,,,,,,,,,
,279,Sun et al.(2020),,China,38.3167,109.7,field,millet,grain,rainfed,615.29999999999995,,90,45,75,clay,1.51,8.1,1.65,0.02,82.5,10.5,585,8.1,72.2222222222222,4.5,2220.3,333.3,3,2140.3,281.4,3,24.67,0.950683377777778,3,23.7811111111111,0.798059126666667,3,,,,,,,,,,,,,,,,,,
,280,Uzoma et al.(2011),,Japan,35.5167,134.19999999999999,pot,maize,grain,irrigation,,75.43,60,26.18,49.81,sand,1.5,6.36,1.3,0.21,6.19047619047619,9.2,33.61,1.51,22.2582781456954,20,1248.41,66.8800000000001,4,2474.52,89.1699999999998,4,20.8068333333333,1.19963878266667,4,41.242,2.171556268,4,1.22,0.07564,4,7.64,0.48896,4,6.4,0.096,4,8,0.72,4,,,,,,
,281,Uzoma et al.(2011),,Japan,35.5167,134.19999999999999,pot,maize,grain,irrigation,,75.43,60,26.18,49.81,sand,1.5,6.36,1.3,0.21,6.19047619047619,9.2,33.61,1.51,22.2582781456954,10,1248.41,66.8800000000001,4,1337.58,89.17,4,20.8068333333333,1.19963878266667,4,22.293,1.173815622,4,1.22,0.07564,4,5.56,0.35584,4,6.4,0.096,4,7.1,0.639,4,,,,,,
,282,Uzoma et al.(2011),,Japan,35.5167,134.19999999999999,pot,maize,grain,irrigation,,75.43,60,26.18,49.81,sand,1.5,6.36,1.3,0.21,6.19047619047619,9.2,33.61,1.51,22.2582781456954,15,1248.41,66.8800000000001,4,3121.02,133.76,4,20.8068333333333,1.19963878266667,4,52.017,2.738903118,4,1.22,0.07564,4,6.54,0.41856,4,6.4,0.096,4,7.34,0.6606,4,,,,,,
,283,Wang et al. (2022),,China,45.6167,126.65,field,eggplant,vegetable,irrigation and rain,,45,,,,loam,1.07,6.93,26.9,2.5,10.76,8.87,715,6.9,103.6,30,52850,330,3,55040,1550,3,33.05,0.39,3,34.97,0.62,3,,,,,,,,,,,,,,,,,,
,284,Wang et al. (2022),,China,45.6167,126.65,field,eggplant,vegetable,irrigation and rain,,45,,,,loam,1.07,6.93,26.9,2.5,10.76,8.87,715,6.9,103.6,30,52640,650,3,56190,930,3,29.78,1.47,3,33.06,0.88,3,,,,,,,,,,,,,,,,,,
,285,Wang et al. (2022),,China,42.11,121.65,field,peanut,industrial crop,irrigation and rain,547.5,38,50,169.6,156,sandy loam,1.44,5.96,8.38,0.62,13.5161290322581,8.14,188.7,5.8,32.5344827586207,10,5102,224,3,5602,104,3,102.04,4.48,3,112.04,2.08,3,,,,,,,,,,,,,,,,,,
,286,Wang et al. (2022),,China,42.11,121.65,field,peanut,industrial crop,irrigation and rain,547.5,20,50,169.6,156,sandy loam,1.44,5.96,8.38,0.62,13.5161290322581,8.14,188.7,5.8,32.5344827586207,10,5265,101,3,5834,127,3,105.3,2.02,3,116.68,2.54,3,,,,,,,,,,,,,,,,,,
,287,Wang et al. (2022),,China,42.11,121.65,field,peanut,industrial crop,irrigation and rain,446.1,90,50,169.6,156,sandy loam,1.44,5.96,8.38,0.62,13.5161290322581,8.14,188.7,5.8,32.5344827586207,10,5182,104,3,5746,139,3,103.64,2.08,3,114.92,2.78,3,,,,,,,,,,,,,,,,,,
,288,Wang et al. (2022),,China,42.11,121.65,field,peanut,industrial crop,irrigation,446.1,65,50,169.6,156,sandy loam,1.44,5.96,8.38,0.62,13.5161290322581,8.14,188.7,5.8,32.5344827586207,10,5282,127,3,5999,150,3,105.64,2.54,3,119.98,3,3,,,,,,,,,,,,,,,,,,
,289,Wang et al. (2022),,China,41.4,123.95,field,maize,grain,rainfed,698,,270,130,150,loam,1.41,,33.93,0.67,50.6417910447761,8.52,515,10.2,50.4901960784314,6,9.61,0.37,3,12.33,0.2,3,0.0355925925925926,0.00213555555555556,3,0.0424074074074074,0.00237481481481482,3,,,,,,,,,,,,,,,,,,
,290,Wang et al. (2022),,China,41.4,123.95,field,maize,grain,rainfed,698,,270,130,150,loam,1.41,,33.93,0.67,50.6417910447761,8.52,515,10.2,50.4901960784314,12,9.61,0.37,3,11.45,0.47,3,0.0355925925925926,0.00213555555555556,3,0.0456666666666667,0.00255733333333333,3,,,,,,,,,,,,,,,,,,
,291,Wang et al. (2022),,China,42.11,121.65,field,peanut,industrial crop,irrigation,446.1,67,50,169.6,156,sandy loam,1.44,5.96,8.38,0.62,13.5161290322581,8.14,188.7,5.8,32.5344827586207,10,5502,0.37,3,6477,0.2,3,110.04,0.00205212651851852,3,129.54,0.00240453266666667,3,,,,,,,,,,,,,,,,,,
,292,Wang et al. (2022),,China,42.11,121.65,field,peanut,industrial crop,irrigation and rain,547.5,20,50,169.6,156,sandy loam,1.44,5.96,8.38,0.62,13.5161290322581,8.14,188.7,5.8,32.5344827586207,10,5482,0.37,3,6228,0.47,3,109.64,0.00205212651851852,3,124.56,0.00223291962962963,3,,,,,,,,,,,,,,,,,,
,293,Xiao Qian  (2017),,China,35.2,107.66670000000001,field,maize,grain,rainfed,403,,225,40,80,clay,1.36,7.89,15.91,0.99,16.0707070707071,9.8,591.6,9.77,60.5527123848516,10,10.2,0.6720474,3,10.9,0.6522778,3,0.0453333333333333,0.00261373866666667,3,0.0484444444444444,0.00255079377777778,3,9.63,0.59706,3,12.7,0.8128,3,,,,,,,1.38679,0.0188699999999999,3,1.30189,0.0566,3
,294,Xiao Qian  (2017),,China,35.2,107.66670000000001,field,maize,grain,rainfed,403,,225,40,80,clay,1.36,7.89,15.91,0.99,16.0707070707071,9.8,591.6,9.77,60.5527123848516,20,10.2,0.6720474,3,11.1,0.6642462,3,0.0453333333333333,0.00261373866666667,3,0.0493333333333333,0.00259759733333333,3,9.63,0.59706,3,15.29,0.97856,3,,,,,,,1.38679,0.0188699999999999,3,1.24528,0.0566100000000001,3
,295,Xiao Qian  (2017),,China,35.2,107.66670000000001,field,maize,grain,rainfed,403,,225,40,80,clay,1.36,7.89,15.91,0.99,16.0707070707071,9.8,591.6,9.77,60.5527123848516,30,10.2,0.6720474,3,11.5,0.688183,3,0.0453333333333333,0.00261373866666667,3,0.0511111111111111,0.00269120444444444,3,9.63,0.59706,3,18.23,1.16672,3,,,,,,,1.38679,0.0188699999999999,3,1.21698,0.0188699999999999,3
,296,Xiao Qian  (2017),,China,35.2,107.66670000000001,field,maize,grain,rainfed,403,,225,40,80,clay,1.36,7.89,15.91,0.99,16.0707070707071,9.8,591.6,9.77,60.5527123848516,20,13.6,0.8960632,3,14.4,0.8617248,3,0.0604444444444444,0.00348498488888889,3,0.064,0.003369856,3,9.70297,0.891129999999999,3,13.4653,0.9901,3,,,,,,,1.33333,0.0180200000000001,3,1.27027,0.0270299999999999,3
,297,Xiao Qian  (2017),,China,35.2,107.66670000000001,field,maize,grain,rainfed,421,,225,40,80,clay,1.36,7.89,15.91,0.99,16.0707070707071,9.8,591.6,9.77,60.5527123848516,10,9.8,0.6456926,3,10.4,0.6223568,3,0.0435555555555556,0.00251123911111111,3,0.0462222222222222,0.00243378488888889,3,8.79,0.54498,3,10.46,0.66944,3,,,,,,,1.34906,0.0566,3,1.29245,0.0377399999999999,3
,298,Xiao Qian  (2017),,China,35.2,107.66670000000001,field,maize,grain,rainfed,421,,225,40,80,clay,1.36,7.89,15.91,0.99,16.0707070707071,9.8,591.6,9.77,60.5527123848516,20,9.8,0.6456926,3,10.8,0.6462936,3,0.0435555555555556,0.00251123911111111,3,0.048,0.002527392,3,8.79,0.54498,3,13.09,0.83776,3,,,,,,,1.34906,0.0566,3,1.23585,0.0283000000000002,3
,299,Xiao Qian  (2017),,China,35.2,107.66670000000001,field,maize,grain,rainfed,421,,225,40,80,clay,1.36,7.89,15.91,0.99,16.0707070707071,9.8,591.6,9.77,60.5527123848516,30,9.8,0.6456926,3,11.1,0.6642462,3,0.0435555555555556,0.00251123911111111,3,0.0493333333333333,0.00259759733333333,3,8.79,0.54498,3,17.95,1.1488,3,,,,,,,1.34906,0.0566,3,1.22642,0.0283,3
,300,Xiao Qian  (2017),,China,35.2,107.66670000000001,field,maize,grain,rainfed,421,,225,40,80,clay,1.36,7.89,15.91,0.99,16.0707070707071,9.8,591.6,9.77,60.5527123848516,20,13.8,0.9092406,3,15,0.89763,3,0.0613333333333333,0.00353623466666667,3,0.0666666666666667,0.00351026666666667,3,8.91089,0.19802,3,12.7723,1.2871,3,,,,,,,1.32143,0.0535699999999999,3,1.26786,0.08928,3
,301,Xiao Qian  (2017),,China,35.2,107.66670000000001,field,maize,grain,rainfed,375,,225,40,80,clay,1.36,7.89,15.91,0.99,16.0707070707071,9.8,591.6,9.77,60.5527123848516,10,8.9,0.5863943,3,9.5,0.568499,3,0.0395555555555556,0.00228061511111111,3,0.0422222222222222,0.00222316888888889,3,8.58,0.53196,3,10.7,0.6848,3,,,,,,,1.35849,0.0188699999999999,3,1.30189,0.03773,3
,302,Xiao Qian  (2017),,China,35.2,107.66670000000001,field,maize,grain,rainfed,375,,225,40,80,clay,1.36,7.89,15.91,0.99,16.0707070707071,9.8,591.6,9.77,60.5527123848516,20,8.9,0.5863943,3,9.9,0.5924358,3,0.0395555555555556,0.00228061511111111,3,0.044,0.002316776,3,8.58,0.53196,3,12.16,0.77824,3,,,,,,,1.35849,0.0188699999999999,3,1.25472,0.0471699999999999,3
,303,Xiao Qian  (2017),,China,35.2,107.66670000000001,field,maize,grain,rainfed,375,,225,40,80,clay,1.36,7.89,15.91,0.99,16.0707070707071,9.8,591.6,9.77,60.5527123848516,30,8.9,0.5863943,3,10.3,0.6163726,3,0.0395555555555556,0.00228061511111111,3,0.0457777777777778,0.00241038311111111,3,8.58,0.53196,3,16.4,1.0496,3,,,,,,,1.35849,0.0188699999999999,3,1.22642,0.0188599999999999,3
,304,Xiao Qian  (2017),,China,35.2,107.66670000000001,field,maize,grain,rainfed,375,,225,40,80,clay,1.36,7.89,15.91,0.99,16.0707070707071,9.8,591.6,9.77,60.5527123848516,20,13.5,0.8894745,3,14.8,0.8856616,3,0.06,0.00345936,3,0.0657777777777778,0.00346346311111111,3,8.91089,0.55247518,3,10.8911,0.6970304,3,,,,,,,,,,,,
,305,Yang et al. (2021),,China,35.2,107.66670000000001,field,wheat,grain,rainfed,144,,200,,160,silt loam,1.3,7.9,9.92,,,7.8,,21.6,,10,6336,114,3,7265,52,3,20.3,1.82654208,3,36.325,1.91265655,3,,,,,,,,,,,,,,,,,,
,306,Yang et al. (2021),,China,35.2,107.66670000000001,field,wheat,grain,rainfed,144,,195,,95,silt loam,1.3,7.9,9.92,,,9.9,,5.78,,5,6336,114,3,6856,89,3,20.8205128205128,1.87337649230769,3,35.1589743589744,1.85126063589744,3,,,,,,,,,,,,,,,,,,
,307,Yang et al. (2021),,China,35.2,107.66670000000001,field,wheat,grain,rainfed,240,,200,,160,silt loam,1.3,7.9,9.92,,,7.8,,21.6,,10,5002,125,3,5927,62,3,31.68,1.55209952,3,29.635,1.74311067,3,,,,,,,,,,,,,,,,,,
,308,Yang et al. (2021),,China,35.2,107.66670000000001,field,wheat,grain,rainfed,240,,195,,95,silt loam,1.3,7.9,9.92,,,9.9,,5.78,,5,5002,125,3,5576,253,3,32.4923076923077,1.59189694358974,3,28.5948717948718,1.68303785641026,3,,,,,,,,,,,,,,,,,,
,309,Yang et al. (2021),,China,35.2,107.66670000000001,field,wheat,grain,rainfed,175,,200,,160,silt loam,1.3,7.9,9.92,,,7.8,,21.6,,10,5269,237,3,6109,132,3,25.01,1.20042748717949,3,30.545,1.12112516923077,3,,,,,,,,,,,,,,,,,,
,310,Yang et al. (2021),,China,35.2,107.66670000000001,field,wheat,grain,rainfed,175,,195,,95,silt loam,1.3,7.9,9.92,,,9.9,,5.78,,5,5269,237,3,5878,386,3,25.6512820512821,1.1704168,3,30.1435897435897,1.132061,3,,,,,,,,,,,,,,,,,,
,311,Yang et al. (2021),,China,35.2,107.66670000000001,field,wheat,grain,rainfed,257,,200,,160,silt loam,1.3,7.9,9.92,,,7.8,,21.6,,10,5384,320,3,6621,94,3,26.345,1.51894732,3,33.105,1.60831643,3,,,,,,,,,,,,,,,,,,
,312,Yang et al. (2021),,China,35.2,107.66670000000001,field,wheat,grain,rainfed,257,,195,,95,silt loam,1.3,7.9,9.92,,,9.9,,5.78,,5,5384,320,3,6233,189,3,27.0205128205128,1.55789468717949,3,31.9641025641026,1.58718057435897,3,,,,,,,,,,,,,,,,,,
,313,Yang et al. (2021),,China,35.2,107.66670000000001,field,wheat,grain,rainfed,184,,200,,160,silt loam,1.3,7.9,9.92,,,7.8,,21.6,,10,4060,499,3,4300,30,3,26.92,1.44197656,3,21.5,1.56040129,3,,,,,,,,,,,,,,,,,,
,314,Yang et al. (2021),,China,35.2,107.66670000000001,field,wheat,grain,rainfed,184,,195,,95,silt loam,1.3,7.9,9.92,,,9.9,,5.78,,5,4060,499,3,4152,86,3,27.6102564102564,1.47895031794872,3,21.2923076923077,1.50563437948718,3,,,,,,,,,,,,,,,,,,
,315,Yang et al. (2023),,China,40.6833,107.3,field,maize,grain,irrigation and rain,90,225,339,192,17,silty clay loam,,8.5,,,,9,472,7,67.4285714285714,15,12.8,0.8433536,3,14.9,0.8916458,3,37.73,2.17536088,3,44.01,2.31730254,3,,,,,,,,,,,,,,,,,,
,316,Yang et al. (2023),,China,40.6833,107.3,field,maize,grain,irrigation and rain,90,225,339,192,17,silty clay loam,,8.5,,,,9,472,7,67.4285714285714,30,12.8,0.8433536,3,14.5,0.867709,3,37.73,2.17536088,3,42.84,2.25569736,3,,,,,,,,,,,,,,,,,,
,317,Yang et al. (2023),,China,40.6833,107.3,field,maize,grain,irrigation and rain,90,225,339,192,17,silty clay loam,,8.5,,,,9,472,7,67.4285714285714,15,12.6,0.8301762,3,15.1,0.9036142,3,37.21,2.14537976,3,44.38,2.33678452,3,,,,,,,,,,,,,,,,,,
,318,Yang et al. (2023),,China,40.6833,107.3,field,maize,grain,irrigation and rain,90,225,339,192,17,silty clay loam,,8.5,,,,9,472,7,67.4285714285714,30,12.6,0.8301762,3,15.2,0.9095984,3,37.21,2.14537976,3,44.82,2.35995228,3,,,,,,,,,,,,,,,,,,
,319,Yang et al. (2023),,China,40.6833,107.3,field,maize,grain,irrigation and rain,90,225,339,192,17,silty clay loam,,8.5,,,,9,472,7,67.4285714285714,15,12,0.790644,3,14.6,0.8736932,3,35.41,2.04159896,3,42.94,2.26096276,3,,,,,,,,,,,,,,,,,,
,320,Yang et al. (2023),,China,40.6833,107.3,field,maize,grain,irrigation and rain,90,225,339,192,17,silty clay loam,,8.5,,,,9,472,7,67.4285714285714,30,12,0.790644,3,14.3,0.8557406,3,35.41,2.04159896,3,42.09,2.21620686,3,,,,,,,,,,,,,,,,,,
,321,Yang et al. (2023),,China,40.6833,107.3,field,maize,grain,irrigation and rain,119,225,339,192,17,silty clay loam,,8.5,,,,9,472,7,67.4285714285714,15,11.9,0.7840553,3,13,0.777946,3,35.08,2.02257248,3,38.22,2.01243588,3,,,,,,,,,,,,,,,,,,
,322,Yang et al. (2023),,China,40.6833,107.3,field,maize,grain,irrigation and rain,119,225,339,192,17,silty clay loam,,8.5,,,,9,472,7,67.4285714285714,30,11.9,0.7840553,3,12.7,0.7599934,3,35.08,2.02257248,3,37.45,1.9718923,3,,,,,,,,,,,,,,,,,,
,323,Yang et al. (2023),,China,40.6833,107.3,field,maize,grain,irrigation and rain,119,225,339,192,17,silty clay loam,,8.5,,,,9,472,7,67.4285714285714,15,11.8,0.7774666,3,11.9,0.7121198,3,34.65,1.9977804,3,35.17,1.85184118,3,,,,,,,,,,,,,,,,,,
,324,Yang et al. (2023),,China,40.6833,107.3,field,maize,grain,irrigation and rain,119,225,339,192,17,silty clay loam,,8.5,,,,9,472,7,67.4285714285714,30,11.8,0.7774666,3,13,0.777946,3,34.65,1.9977804,3,38.41,2.02244014,3,,,,,,,,,,,,,,,,,,
,325,Yang et al. (2023),,China,40.6833,107.3,field,maize,grain,irrigation and rain,119,225,339,192,17,silty clay loam,,8.5,,,,9,472,7,67.4285714285714,15,11.9,0.7840553,3,12.7,0.7599934,3,35.02,2.01911312,3,37.35,1.9666269,3,,,,,,,,,,,,,,,,,,
,326,Yang et al. (2023),,China,40.6833,107.3,field,maize,grain,irrigation and rain,119,225,339,192,17,silty clay loam,,8.5,,,,9,472,7,67.4285714285714,30,11.9,0.7840553,3,12.4,0.7420408,3,35.02,2.01911312,3,36.45,1.9192383,3,,,,,,,,,,,,,,,,,,
,327,Yang Ling (2022),,China,38.25,109.7833,field,potato,vegetable,irrigation and rain,,256.2,150,60,225,sandy loam,1.62,8.1,4.31,,,,764.31,,,10,40888.89,2694.04629543,3,45041.66,2695.38301772,3,185.41,10.68999896,3,185.91,9.78890514,3,,,,,,,,,,,,,1.42913,0.0310600000000001,3,1.36311,0.01553,3
,328,Yang Ling (2022),,China,38.25,109.7833,field,potato,vegetable,irrigation and rain,,256.2,150,60,225,sandy loam,1.62,8.1,4.31,,,,764.31,,,20,40888.89,2694.04629543,3,56138.89,3359.46345538,3,185.41,10.68999896,3,196.59,10.35124986,3,,,,,,,,,,,,,1.42913,0.0310600000000001,3,1.32039,0.0427200000000001,3
