meta_analytical_study,studyid,sources,country,lat,lon,experiment_type,crop,crop_type,water_magement,rain,irr,n_fer,p_fer,k_fer,texture,sbd,sph,soc,stn,scn,bph,btc,btn,bcn,brate,yc_mean,yc_sd,yc_n,yr_mean,yr_sd,yr_n,yield_unit,nuec_mean,nuec_sd,nuec_n,nuer_mean,nuer_sd,nuer_n,socc_mean,socc_sd,socc_n,socr_mean,socr_sd,socr_n,phc_mean,phc_sd,phc_n,phr_mean,phr_sd,phr_n,sbdc_mean,sbdc_sd,sbdc_n,sbdr_mean,sbdr_sd,sbdr_n,yi,vi
Han22,13,Yang  et al. (2022）,China,40.683300000000003,107.3,field,maize,grain,irrigation and rain,89.9,375.4,339,192,17,sandy loam,1.46,8.5,9.5,0.85,11.7469879518072,9,47.2,0.7,67.4285714285714,30,12800,1100,3,14530,1800,3,ton/ha/yr,37.7581120943953,2.17698171091445,3,42.8613569321534,2.2568218879056,3,,,,,,,8.43761,0.02393,3,8.34872,0.0547000000000004,3,,,,,,,,
Han22,14,Yang  et al. (2022）,China,40.683300000000003,107.3,field,maize,grain,irrigation and rain,89.9,375.4,339,192,17,sandy loam,1.46,8.5,9.5,0.85,11.7469879518072,9,47.2,0.7,67.4285714285714,15,12800,1100,3,14930,2120,3,ton/ha/yr,37.7581120943953,2.17698171091445,3,44.0412979351032,2.31895050147493,3,,,,,,,8.43761,0.02393,3,8.42051,0.0410299999999992,3,,,,,,,,
Han22,15,Yang  et al. (2022）,China,40.683300000000003,107.3,field,maize,grain,irrigation and rain,119.1,375.4,339,192,17,sandy loam,1.46,8.5,9.5,0.85,11.7469879518072,9,47.2,0.7,67.4285714285714,30,11900,1410,3,12710,1070,3,ton/ha/yr,35.1032448377581,2.02391268436578,3,37.4926253687316,1.97413669616519,3,,,,,,,8.45172,0.0482800000000001,3,8.53103,0.0482800000000001,3,,,,,,,,
Han22,16,Yang  et al. (2022）,China,40.683300000000003,107.3,field,maize,grain,irrigation and rain,119.1,375.4,339,192,17,sandy loam,1.46,8.5,9.5,0.85,11.7469879518072,9,47.2,0.7,67.4285714285714,15,11900,1410,3,12970,1230,3,ton/ha/yr,35.1032448377581,2.02391268436578,3,38.259587020649,2.01452029498525,3,,,,,,,8.45172,0.0482800000000001,3,8.55172,0.0586200000000012,3,,,,,,,,
Han22,17,Yang  et al. (2022）,China,40.683300000000003,107.3,field,maize,grain,irrigation and rain,119.1,375.4,339,192,17,sandy loam,1.46,8.5,9.5,0.85,11.7469879518072,9,47.2,0.7,67.4285714285714,45,11900,1410,3,12310,1230,3,ton/ha/yr,35.1032448377581,2.02391268436578,3,36.3126843657817,1.91200808259587,3,,,,,,,8.45172,0.0482800000000001,3,8.54138,0.0310299999999994,3,,,,,,,,
Han22,18,Abbas et al.(2020),Pakistan,31.433299999999999,73.066699999999997,pot,maize,grain,irrigation,525,225,220,180,120,sandy clay loam,1.44,7.95,9.5,0.85,11.7469879518072,7.03,467.2,1.38,38,10,,,,,,,unknown,30,1.72968,3,37.2727272727273,1.96255818181818,3,0.49,0.03,3,0.54,0.03,3,7.92,0.03,3,7.85,0.02,3,,,,,,,,
Han22,19,Agb et al.(2017),China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,525,83,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,25,10251.8,449.6,3,12679.9,359.7,3,kg/ha/yr,76.8885,4.433083356,3,95.09925,5.0073559095,3,,,,,,,,,,,,,,,,,,,,
Han22,20,Agb et al.(2017),China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,525,83,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,50,10251.8,449.6,3,13759,449.6,3,kg/ha/yr,76.8885,4.433083356,3,103.1925,5.433497895,3,,,,,,,,,,,,,,,,,,,,
Han22,21,Agb et al.(2017),China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,525,100.9,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,25,9288.7,502.089999999999,3,10711.3,418.4,3,kg/ha/yr,69.66525,4.016619654,3,80.33475,4.2299459265,3,,,,,,,,,,,,,,,,,,,,
Han22,22,Agb et al.(2017),China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,525,100.9,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,50,9288.7,502.089999999999,3,11882.8,753.2,3,kg/ha/yr,69.66525,4.016619654,3,89.121,4.692577134,3,,,,,,,,,,,,,,,,,,,,
Han22,23,Agb et al.(2017),China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,525,108.2,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,25,15197.8,629.499999999998,3,18345.3,179.9,3,kg/ha/yr,113.9835,6.571832676,3,137.58975,7.2446506965,3,,,,,,,,,,,,,,,,,,,,
Han22,24,Agb et al.(2017),China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,525,108.2,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,50,15197.8,629.499999999998,3,19514.4,269.8,3,kg/ha/yr,113.9835,6.571832676,3,146.358,7.706334132,3,,,,,,,,,,,,,,,,,,,,
Han22,25,Agb et al.(2017),China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,525,78.1,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,25,12410.1,989.2,3,15107.9,449.7,3,kg/ha/yr,93.07575,5.366375442,3,113.30925,5.9661852495,3,,,,,,,,,,,,,,,,,,,,
Han22,26,Agb et al.(2017),China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,525,78.1,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,50,12410.1,989.2,3,16906.5,1169,3,kg/ha/yr,93.07575,5.366375442,3,126.79875,6.6764613825,3,,,,,,,,,,,,,,,,,,,,
Han22,27,Agb et al.(2017),China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,525,123.6,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,25,13974.9,1087.9,3,17154.8,502.099999999999,3,kg/ha/yr,104.81175,6.043026258,3,128.661,6.774516294,3,,,,,,,,,,,,,,,,,,,,
Han22,28,Agb et al.(2017),China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,525,123.6,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,50,13974.9,1087.9,3,18075.3,669.500000000003,3,kg/ha/yr,104.81175,6.043026258,3,135.56475,7.1380263465,3,,,,,,,,,,,,,,,,,,,,
Han22,29,Agb et al.(2017),China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,525,133.4,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,25,10543.9,1171.6,3,13054.4,585.800000000001,3,kg/ha/yr,79.07925,4.559393238,3,97.908,5.155247832,3,,,,,,,,,,,,,,,,,,,,
Han22,30,Agb et al.(2017),China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,525,133.4,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,50,10543.9,1171.6,3,13891.2,753.2,3,kg/ha/yr,79.07925,4.559393238,3,104.184,5.485704336,3,,,,,,,,,,,,,,,,,,,,
Han22,31,Agegnehu et al. (2015）,Australia,-17.0167,145.4,field,peanut,legumes,rainfed,541,225,26.6,31.6,66.2,clay loam,0.55,6.2,8.9,6,14.8,9.47,467.2,8.1,60.5527123848516,10,5617,1171.6,3,6910,753.2,3,kg/ha/yr,211.165413533835,12.1749530827068,3,259.774436090226,13.6781631578947,3,1,0.062,3,1.08,0.06912,3,6.6,0.099,3,6.7,0.603,3,0.97,0.01261,3,0.91,0.0182,3,-0.06,0.000163417366666667
Han22,32,Agegnehu et al. (2015）,Australia,-17.0167,145.4,field,peanut,legumes,rainfed,541,225,26.6,31.6,66.2,clay loam,0.55,6.2,8.1,7,14.9,9.47,467.2,8.1,60.5527123848516,2.5,6552,1171.6,3,6786,753.2,3,kg/ha/yr,246.315789473684,14.2015831578947,3,255.112781954887,13.4327084210526,3,1.08,0.06696,3,1.01,0.06464,3,6.8,0.102,3,6.9,0.621,3,0.93,0.01209,3,0.96,0.0192,3,0.0299999999999999,0.0001716027
Han22,33,Ahmed  et al. (2019）,China,39.966700000000003,166.3167,pot,pak choi,vegetable,irrigation,525,225,300,150,300,loam,1.46,8.15,9.5,1.07,11.7469879518072,8.85,467.2,19.5,60.5527123848516,20,79.5,2.75,5,87.4,11.02,5,unknown,0.265,0.01527884,5,0.291333333333333,0.0153398653333333,5,,,,,,,8.03,0.095,5,8.1,0.137,5,1.428,0.0416,5,1.43,0.077,5,0.002,0.001531912
Han22,34,Ahmed  et al. (2019）,China,39.966700000000003,166.3167,pot,pak choi,vegetable,irrigation,525,225,300,150,300,loam,1.46,8.15,9.5,1.07,11.7469879518072,8.85,467.2,19.5,60.5527123848516,20,61.95,3.65,5,66.12,6.81,5,unknown,0.2065,0.011905964,5,0.2204,0.0116049416,5,,,,,,,8.03,0.105,5,8.01,0.096,5,1.4275,0.0505,5,1.4253,0.0275,5,-0.00219999999999998,0.0006613
Han22,35,Akhtar  et al. (2014）,China,40.0167,116.2833,pot,tomato,vegetable,irrigation,525,22.7,250,180,180,sandy loam,1.63,8.02,9.75,0.83,11.7469879518072,10.64,623,10.5,59.3333333333333,10,133.585,13.585,3,159.623,6.792,3,unknown,3.35861936,0.11652594733696,3,4.32195288,0.15011206844224,3,,,,,,,,,,,,,,,,,,,,
Han22,36,Akhtar  et al. (2014）,China,40.0167,116.2833,pot,tomato,vegetable,irrigation,525,32.5,250,180,180,sandy loam,1.63,8.02,9.75,0.83,11.7469879518072,10.64,623,10.5,59.3333333333333,10,104.151,9.057,3,109.811,5.66099999999999,3,unknown,1.863797,0.17684474378144,3,3.951259,0.24918651524928,3,,,,,,,,,,,,,,,,,,,,
Han22,37,Akhtar  et al. (2014）,China,40.0167,116.2833,pot,tomato,vegetable,irrigation,525,22.7,250,180,180,sandy loam,1.63,8.02,9.75,0.83,11.7469879518072,10.64,623,10.5,59.3333333333333,10,121.132,5.66,3,135.849,4.52800000000002,3,unknown,2.21305024,0.098136367238,3,2.60358104,0.227813788904,3,,,,,,,,,,,,,,,,,,,,
Han22,38,Babalola  et al. (2022),Nigeria,5.2167000000000003,7.2667000000000002,field,maize,grain,irrigation,304.3,225,45,100,45,sandy clay loam,1.35,5.12,0.94,4.6,0.204347826086957,9.42,69,10.09,6.73,20,21621.6,1014.8,3,23783.8,1579.8,3,kg/ha/yr,480.48,27.70255488,3,528.528888888889,27.8291601155556,3,,,,,,,,,,,,,,,,,,,,
Han22,39,Babalola  et al. (2022),Nigeria,5.2167000000000003,7.2667000000000002,field,maize,grain,irrigation,304.3,225,45,100,45,sandy clay loam,1.35,5.12,0.94,4.6,0.204347826086957,9.42,69,10.09,6.73,20,17702.7,1524.6,3,20675.7,1551.6,3,kg/ha/yr,393.393333333333,22.6814860266667,3,459.46,24.19240684,3,,,,,,,,,,,,,,,,,,,,
Han22,40,Babalola  et al. (2022),Nigeria,5.2167000000000003,7.2667000000000002,field,maize,grain,irrigation,3.13,225,45,100,45,sandy clay loam,1.35,4.99,1.18,1.8,0.655555555555556,9.42,69,10.09,6.73,20,13636.4,1545.4,3,15636.4,2181.8,3,kg/ha/yr,303.031111111111,17.4715617422222,3,347.475555555556,18.2959779022222,3,,,,,,,,,,,,,,,,,,,,
Han22,41,Babalola  et al. (2022),Nigeria,5.2167000000000003,7.2667000000000002,field,maize,grain,irrigation,304.3,225,45,100,45,sandy clay loam,1.35,5.12,0.94,4.6,0.204347826086957,9.42,69,10.09,6.73,20,22837.8,1707.7,3,24459.5,1858.7,3,kg/ha/yr,507.506666666667,29.2608043733333,3,543.544444444445,28.6197891777778,3,,,,,,,,,,,,,,,,,,,,
Han22,42,Babalola  et al. (2022),Nigeria,5.2167000000000003,7.2667000000000002,field,maize,grain,irrigation,3.13,225,45,100,45,sandy clay loam,1.35,4.99,1.18,1.8,0.655555555555556,9.42,69,10.09,6.73,20,9454.55,1999.95,3,12272.7,1545.5,3,kg/ha/yr,210.101111111111,12.1135896622222,3,272.726666666667,14.3601499066667,3,,,,,,,,,,,,,,,,,,,,
Han22,43,Babalola  et al. (2022),Nigeria,5.2167000000000003,7.2667000000000002,field,maize,grain,irrigation,3.13,225,45,100,45,sandy clay loam,1.35,4.99,1.18,1.8,0.655555555555556,9.42,69,10.09,6.73,20,15363.6,2454.6,3,16090.9,2454.6,3,kg/ha/yr,341.413333333333,19.6845271466667,3,357.575555555556,18.8277833022222,3,,,,,,,,,,,,,,,,,,,,
Han22,44,Cabrera et al.(2017),America,30.7667,-87.133300000000006,field,sorghum,grain,rainfed,720,225,30,7.5,15,sandy loam,1.44,6,20,0.638,31.3479623824451,9.4,467.2,8.1,60.5527123848516,5,21000,1383.627,4,19900,1190.8558,4,kg/ha/yr,700,40.3592,4,663.333333333333,34.9271533333333,4,,,,,,,,,,,,,,,,,,,,
Han22,45,Cabrera et al.(2017),America,30.7667,-87.133300000000006,field,sorghum,grain,rainfed,720,225,30,7.5,15,sandy loam,1.44,6,20,0.638,31.3479623824451,5.1,467.2,4.025,60.5527123848516,8,21000,1383.627,4,19400,1160.9348,4,kg/ha/yr,700,40.3592,4,646.666666666667,34.0495866666667,4,,,,,,,,,,,,,,,,,,,,
Han22,46,Cabrera et al.(2017),America,30.7667,-87.133300000000006,field,sorghum,grain,rainfed,678,225,30,7.5,15,sandy loam,1.44,6,20,0.638,31.3479623824451,9.4,467.2,8.1,60.5527123848516,5,4900,322.846,4,3900,233.3838,4,kg/ha/yr,163.33333333333,9.41714666666667,4,130,6.84502,4,,,,,,,,,,,,,,,,,,,,
Han22,47,Cabrera et al.(2017),America,30.7667,-87.133300000000006,field,sorghum,grain,rainfed,678,225,30,7.5,15,sandy loam,1.44,6,20,0.638,31.3479623824451,5.1,467.2,4.025,60.5527123848516,8,4900,322.846,4,5000,299.21,4,kg/ha/yr,163.33333333333,9.41714666666667,4,166.666666666667,8.77566666666667,4,,,,,,,,,,,,,,,,,,,,
Han22,48,Cabrera et al.(2017),America,30.7667,-87.133300000000006,field,sorghum,grain,rainfed,867,225,30,7.5,15,sandy loam,1.44,6,20,0.638,31.3479623824451,9.4,467.2,8.1,60.5527123848516,5,22200,1462.6914,4,17900,1071.1718,4,kg/ha/yr,740,42.66544,4,596.666666666667,31.4168866666667,4,,,,,,,,,,,,,,,,,,,,
Han22,49,Cabrera et al.(2017),America,30.7667,-87.133300000000006,field,sorghum,grain,rainfed,867,225,30,7.5,15,sandy loam,1.44,6,20,0.638,31.3479623824451,5.1,467.2,4.025,60.5527123848516,8,22200,1462.6914,4,17800,1065.1876,4,kg/ha/yr,740,42.66544,4,593.333333333333,31.2413733333333,4,,,,,,,,,,,,,,,,,,,,
Han22,50,Cao et al. (2021),China,30.05,199.95,field,rice,grain,irrigation and rain,680.5,225,144,120,60,clay,1.44,5.45,34.9,18.7,1.86631016042781,9.47,467.2,8.1,60.5527123848516,1.8,7683,76,3,8475,188,3,kg/ha/yr,53.3541666666667,3.07618783333333,3,58.8541666666667,3.09890729166667,3,,,,,,,,,,,,,,,,,,,,
Han22,51,Cao et al. (2021),China,30.05,199.95,field,rice,grain,irrigation and rain,799.8,225,144,120,60,clay,1.44,5.45,34.9,18.7,1.86631016042781,9.47,467.2,8.1,60.5527123848516,1.8,7805.7,87.4,3,8689.5,259.9,3,kg/ha/yr,54.20625,3.12531555,3,60.34375,3.1773398125,3,,,,,,,,,,,,,,,,,,,,
Han22,52,Cao et al. (2021),China,30.05,199.95,field,rice,grain,irrigation and rain,875.4,225,144,120,60,clay,1.44,5.45,34.9,18.7,1.86631016042781,9.47,467.2,8.1,60.5527123848516,1.8,7885.5,92.3,3,8739,31.5,3,kg/ha/yr,54.7604166666667,3.15726658333333,3,60.6875,3.195439625,3,,,,,,,,,,,,,,,,,,,,
Han22,53,Cao et al. (2021),China,30.05,199.95,field,rice,grain,irrigation and rain,799.8,225,144,120,60,clay,1.44,5.45,34.9,18.7,1.86631016042781,9.47,467.2,8.1,60.5527123848516,1.8,8300.8,138.3,3,9721.1,200.1,3,kg/ha/yr,57.6444444444444,3.32354808888889,3,67.5076388888889,3.55454721805556,3,,,,,,,,,,,,,,,,,,,,
Han22,54,Cao et al. (2021),China,30.05,199.95,field,rice,grain,irrigation and rain,875.4,225,144,120,60,clay,1.44,5.45,34.9,18.7,1.86631016042781,9.47,467.2,8.1,60.5527123848516,1.8,8522.5,194.3,3,9820.5,134.3,3,kg/ha/yr,59.1840277777778,3.41231430555556,3,68.1979166666667,3.59089310416667,3,,,,,,,,,,,,,,,,,,,,
Han22,55,Cao et al. (2021),China,30.05,199.95,field,rice,grain,irrigation and rain,680.5,225,144,120,60,clay,1.44,5.45,34.9,18.7,1.86631016042781,9.47,467.2,8.1,60.5527123848516,1.8,8136,227,3,9492,151,3,kg/ha/yr,56.5,3.257564,3,65.9166666666667,3.47077616666667,3,,,,,,,,,,,,,,,,,,,,
Han22,56,Cao et al. (2022),China,31.95,118.83329999999999,field,maize,grain,irrigation,525,200,100,100,100,sandy loam,1.44,5.45,15.76,0.85,11.7469879518072,9.47,16.8,8.1,60.5527123848516,10,7320,110,3,8260,900,3,ton/ha/yr,73.2,0.86,3,82.6,0.6,3,,,,,,,,,,,,,,,,,,,,
Han22,57,Cao et al. (2022),China,31.95,118.83329999999999,field,maize,grain,irrigation,525,200,200,100,100,sandy loam,1.44,5.45,10.76,0.85,11.7469879518072,9.47,16.8,8.1,60.5527123848516,5,7110,110,3,7430,50,3,ton/ha/yr,35.55,0.86,3,37.12,0.68,3,,,,,,,,,,,,,,,,,,,,
Han22,58,Cao et al. (2022),China,31.95,118.83329999999999,field,maize,grain,irrigation,525,200,200,100,100,sandy loam,1.44,5.45,14.76,0.85,11.7469879518072,9.47,16.8,8.1,60.5527123848516,10,7110,190,3,8020,120,3,ton/ha/yr,35.55,1.27,3,40.1,0.71,3,,,,,,,,,,,,,,,,,,,,
Han22,59,Cao et al. (2022),China,31.95,118.83329999999999,field,maize,grain,rainfed,525,400,100,100,100,sandy loam,1.44,5.45,17.76,0.85,11.7469879518072,9.47,16.8,8.1,60.5527123848516,15,8230,110,3,8260,270,3,ton/ha/yr,82.3,0.86,3,82.6,0.99,3,,,,,,,,,,,,,,,,,,,,
Han22,60,Cao et al. (2022),China,31.95,118.83329999999999,field,maize,grain,irrigation,525,400,100,100,100,sandy loam,1.44,5.45,13.76,0.85,11.7469879518072,9.47,16.8,8.1,60.5527123848516,10,8230,200,3,9310,30,3,ton/ha/yr,82.3,2.14,3,93.1,1.08,3,,,,,,,,,,,,,,,,,,,,
Han22,61,Cao et al. (2022),China,31.95,118.83329999999999,field,maize,grain,irrigation,525,200,100,100,100,sandy loam,1.44,5.45,11.76,0.85,11.7469879518072,9.47,16.8,8.1,60.5527123848516,5,7320,200,3,7730,280,3,ton/ha/yr,73.2,2.14,3,77.3,1.11,3,,,,,,,,,,,,,,,,,,,,
Han22,62,Cao et al. (2022),China,31.95,118.83329999999999,field,maize,grain,rainfed,525,200,200,100,100,sandy loam,1.44,5.45,18.76,0.85,11.7469879518072,9.47,16.8,8.1,60.5527123848516,15,7110,100,3,7160,100,3,ton/ha/yr,35.55,1.85,3,35.8,1.52,3,,,,,,,,,,,,,,,,,,,,
Han22,63,Cao et al. (2022),China,31.95,118.83329999999999,field,maize,grain,irrigation,525,400,200,100,100,sandy loam,1.44,5.45,12.76,0.85,11.7469879518072,9.47,16.8,8.1,60.5527123848516,10,8750,190,3,9430,700,3,ton/ha/yr,43.75,1.27,3,46.7,1.64,3,,,,,,,,,,,,,,,,,,,,
Han22,64,Cao et al. (2022),China,31.95,118.83329999999999,field,maize,grain,irrigation,525,400,100,100,100,sandy loam,1.44,5.45,9.76,0.85,11.7469879518072,9.47,16.8,8.1,60.5527123848516,5,8230,190,3,8870,310,3,ton/ha/yr,82.3,1.27,3,88.7,1.74,3,,,,,,,,,,,,,,,,,,,,
Han22,65,Cao et al. (2022),China,31.95,118.83329999999999,field,maize,grain,irrigation,525,400,200,100,100,sandy loam,1.44,5.45,8.76,0.85,11.7469879518072,9.47,16.8,8.1,60.5527123848516,5,8750,200,3,8960,190,3,ton/ha/yr,43.75,2.14,3,44.8,2.39,3,,,,,,,,,,,,,,,,,,,,
Han22,66,Cao et al. (2022),China,31.95,118.83329999999999,field,maize,grain,rainfed,525,200,100,100,100,sandy loam,1.44,5.45,19.76,0.85,11.7469879518072,9.47,16.8,8.1,60.5527123848516,15,7320,100,3,7340,520,3,ton/ha/yr,73.2,1.85,3,73.4,2.42,3,,,,,,,,,,,,,,,,,,,,
Han22,67,Cao et al. (2022),China,31.95,118.83329999999999,field,maize,grain,irrigation,525,400,200,100,100,sandy loam,1.44,5.45,16.76,0.85,11.7469879518072,9.47,16.8,8.1,60.5527123848516,15,8750,100,3,8800,830,3,ton/ha/yr,43.75,1.85,3,44,2.61,3,,,,,,,,,,,,,,,,,,,,
