ind_code,mod1,group1,mod2,group2,ES,SE,n
soil pH,soil ph,acidic,,,13.2372505543237,0.61088737046926,155
soil pH,soil ph,acidic,,,7.91574279379157,0.559980089596814,99
soil pH,soil ph,acidic,,,6.11973392461197,0.526041902348523,98
WHC,soil ph,acidic,,,12.1033210332103,2.98779561452372,80
WHC,soil ph,neutral,,,16.6789667896678,2.50670987998176,116
WHC,soil ph,alkaline,,,12.3985239852398,2.55735048361777,120
yield,soil ph,acidic,,,5.86715867158671,0.678119349005426,80
yield,soil ph,neutral,,,20.9225092250922,0.484370963575281,116
yield,soil ph,alkaline,,,12.3985239852398,0.542495479204337,120
yield,soil ph,alkaline,crop type,grain,31.6,2.9030612244898,17
yield,soil ph,neutral,crop type,grain,7.93357933579335,0.828253379273788,199
yield,soil ph,acidic,crop type,grain,10.5166051660516,0.966295609152742,136
yield,soil ph,acidic,,,45.2328159645232,5.14729173265758,101
yield,soil ph,acidic,,,45.2328159645232,3.50694601565681,218
yield,soil ph,acidic,,,34.1463414634146,5.1472917326576,116
yield,soil ph,acidic,,,26.8292682926829,2.20598217113898,91
yield,soil ph,acidic,,,12.6385809312638,3.2241277885877,73
bulk density,soil texture,coarse,,,10.4,0.501482644339775,49
bulk density,soil texture,fine,,,8.8,0.779478458049877,23
bulk density,soil texture,medium,,,7.3,0.577795220652365,18
N pool,soil texture,coarse,,,6.21951219512195,0.41820006691201,157
N pool,soil texture,medium,,,14.7560975609756,0.731850117096021,56
N pool,soil texture,fine,,,21.2195121951219,0.439110070257602,126
N pool,soil texture,fine,crop type,grain,16.91,3.86989795918367,11
N pool,soil texture,medium,crop type,grain,14.8523985239852,1.65843875347117,44
N pool,soil texture,coarse,crop type,grain,8.91143911439114,1.81271212588707,49
porosity,soil texture,coarse,,,12.3,0.337595016661964,23
porosity,soil texture,medium,,,7.2,1.11624158734999,6
porosity,soil texture,fine,,,5.5,0.89843835079389,6
soil pH,soil texture,coarse (sand),,,14.5011086474501,0.916331055703877,166
soil pH,soil texture,medium (loam),,,12.0399113082039,0.475134621476071,176
soil pH,soil texture,fine (clay),,,10.6430155210643,0.576949183220954,205
WHC,soil texture,fine,,,20.3690036900369,1.74710082544186,126
yield,soil texture,coarse,,,8.47,0.696428571428571,157
yield,soil texture,medium,,,14.47,0.683673469387755,56
yield,soil texture,fine,,,19.5940959409594,0.392857142857143,126
yield,soil texture,fine,crop type,grain,18.15,3.56887755102041,13
yield,soil texture,medium,crop type,grain,12.6568265682656,1.39146567717994,74
yield,soil texture,coarse,crop type,grain,8.52398523985239,1.70068027210882,58
yield,soil texture,coarse (sand),,,56.3192904656319,3.73320059731209,143
yield,soil texture,medium (loam),,,48.3370288248337,3.11100049776008,105
yield,soil texture,fine (clay),,,28.1596452328159,1.24440019910403,210
bulk density,SSA,high,soil texture,coarse,26.4423076923076,3.14910653256518,7
bulk density,SSA,very high,soil texture,coarse,15.7692307692307,4.90674738795039,2
bulk density,SSA,low,soil texture,medium,13.1730769230769,0.878820427692602,2
bulk density,SSA,low,soil texture,coarse,10.8653846153846,1.61117078410311,7
bulk density,SSA,very high,soil texture,fine,9.71153846153846,2.63646128307781,1
bulk density,SSA,very low,soil texture,medium,8.26923076923077,0.512645249487354,9
bulk density,SSA,very high,soil texture,medium,7.98076923076923,1.83087589102626,1
bulk density,SSA,very low,soil texture,coarse,7.69230769230769,0.292940142564202,10
bulk density,SSA,high,soil texture,fine,4.80769230769231,1.90411092666732,2
bulk density,SSA,very low,soil texture,fine,2.5,1.53793574846206,3
bulk density,SSA,low,soil texture,fine,1.05769230769231,0.439410213846304,1
porosity,SSA,high,soil texture,coarse,5.46666666666666,0.714285714285714,5
porosity,SSA,low,soil texture,coarse,10.9777777777777,-0.113378684807258,5
porosity,SSA,very low,soil texture,coarse,12.9333333333333,-1.30385487528343,7
porosity,SSA,low,soil texture,medium,1.02222222222222,4.01360544217687,1
porosity,SSA,high,soil texture,fine,2.26666666666666,1.67800453514739,1
porosity,SSA,low,soil texture,fine,8.13333333333333,1.89342403628118,1
bulk density,time frame,short term,soil texture,coarse,11.6498316498316,0.568808604522883,51
bulk density,time frame,short term,soil texture,fine,10.8417508417508,1.17209045780474,13
bulk density,time frame,medium term,soil texture,fine,8.28282828282828,1.43063982349696,7
bulk density,time frame,short term,soil texture,medium,7.87878787878787,0.723938223938224,11
bulk density,time frame,medium term,soil texture,coarse,7.47474747474747,1.18932708218423,9
bulk density,time frame,medium term,soil texture,medium,6.53198653198653,0.999724214009929,7
bulk density,time frame,long term,soil texture,medium,6.46464646464646,1.87879205736348,3
bulk density,time frame,long term,soil texture,fine,5.99326599326599,0.948014340871482,5
bulk density,time frame,long term,soil texture,coarse,3.63636363636363,1.10314396028682,5
N pool,time frame,long term,crop type,grain,5.7741116751269,2.07323028221189,27
N pool,time frame,med term,crop type,grain,9.96192893401015,1.24183336701015,58
N pool,time frame,short term,crop type,grain,15.1649746192893,0.663012729844413,181
soil pH,time frame,long term,,,8.11387900355871,0.491105533122339,340
soil pH,time frame,long term,,,11.8505338078291,1.3096147549929,86
soil pH,time frame,long term,,,13.932384341637,0.682091018225485,178
yield,time frame,long term,crop type,grain,3.41836734693877,1.51202865252061,39
yield,time frame,med term,crop type,grain,11.1224489795918,1.07278010541964,73
yield,time frame,short term,crop type,grain,11.2244897959183,0.549060683876199,266
yield,time frame,long term,,,23.4875444839857,2.72108843537413,265
yield,time frame,long term,,,34.1637010676156,6.30385487528347,58
yield,time frame,long term,,,39.5017793594306,4.03628117913832,167
N pool,water management,irrigation+rain,,,12.1827411167512,1.18600071607589,118
N pool,water management,irrigation,,,19.0355329949238,1.0517364840673,151
N pool,water management,rain-fed,,,6.24365482233502,1.27551020408163,112
N pool,water management,irrigation,,,14.7715736040609,0.559434300035816,70
N pool,water management,irrigation,,,8.68020304568528,0.492302184031508,107
N pool,water management,irrigation,,,12.6395939086294,0.514679556032916,64
N pool,water management,irrigation,,,0.913705583756345,0.738453276047261,46
N pool,water management,irrigation,crop type,grain,10.28,2.06887755102041,186
yield,water management,irrigation,crop type,grain,8.23,1.61479591836735,237
