ind_code,mod1,group1,mod2,group2,ES,SE,n
bulk density,bc dose,very high,soil texture,coarse,15.5555555555555,1.06867071152786,18
bulk density,bc dose,very high,soil texture,fine,12.7272727272727,2.34418091560948,8
bulk density,bc dose,very high,soil texture,medium,10.9090909090909,0.465388858245995,7
bulk density,bc dose,med,soil texture,coarse,10.6397306397306,0.999724214009921,30
bulk density,bc dose,low,soil texture,coarse,10.6397306397306,0.999724214009921,30
bulk density,bc dose,very low,soil texture,coarse,10.6397306397306,0.999724214009921,30
bulk density,bc dose,high,soil texture,fine,9.69696969696969,1.15485383342524,10
bulk density,bc dose,high,soil texture,coarse,9.36026936026936,0.93077771649199,8
bulk density,bc dose,very high,soil texture,fine,8.95622895622895,1.75813568670711,4
bulk density,bc dose,high,soil texture,fine,8.95622895622895,1.75813568670711,4
bulk density,bc dose,very high,soil texture,coarse,6.86868686868686,0.68946497517926,6
bulk density,bc dose,high,soil texture,coarse,6.86868686868686,0.68946497517926,6
bulk density,bc dose,med,soil texture,fine,6.26262626262626,0.827357970215112,14
bulk density,bc dose,low,soil texture,fine,6.26262626262626,0.827357970215112,14
bulk density,bc dose,very low,soil texture,fine,6.26262626262626,0.827357970215112,14
bulk density,bc dose,high,soil texture,medium,5.99326599326599,1.1203805846663,8
bulk density,bc dose,very high,soil texture,medium,5.79124579124579,1.03419746276889,7
bulk density,bc dose,high,soil texture,medium,5.79124579124579,1.03419746276889,7
bulk density,bc dose,med,soil texture,medium,4.78114478114478,0.775648097076668,10
bulk density,bc dose,low,soil texture,medium,4.78114478114478,0.775648097076668,10
bulk density,bc dose,very low,soil texture,medium,4.78114478114478,0.775648097076668,10
N pool,bc dose,very low,,,8.37563451776649,0.604189044038668,20
N pool,bc dose,low,,,6.70050761421319,0.492302184031508,84
N pool,bc dose,med,,,12.1827411167512,0.492302184031497,96
N pool,bc dose,high,,,21.0152284263959,0.492302184031505,70
N pool,bc dose,very high,,,26.0406091370558,0.760830648048699,60
N pool,bc dose,very high,crop type,grain,29.2096219931271,3.78787878787878,15
N pool,bc dose,high,crop type,grain,29.2096219931271,3.78787878787878,15
N pool,bc dose,high,crop type,grain,13.7457044673539,1.72644815501957,66
N pool,bc dose,med,crop type,grain,9.62199312714776,1.72644815501958,71
N pool,bc dose,low,crop type,grain,9.45017182130584,1.44300144300144,102
N pool,bc dose,very low,crop type,grain,9.45017182130584,1.44300144300144,102
porosity,bc dose,very high,soil texture,coarse,15.1569506726457,0.823647844788138,8
porosity,bc dose,very high,soil texture,coarse,5.65022421524663,1.28122998078155,4
porosity,bc dose,high,soil texture,coarse,5.65022421524663,1.05243891278484,15
porosity,bc dose,med,soil texture,coarse,21.0762331838565,3.02004209755651,17
porosity,bc dose,low,soil texture,coarse,21.0762331838565,3.02004209755651,17
porosity,bc dose,very low,soil texture,coarse,21.0762331838565,3.02004209755651,17
porosity,bc dose,very high,soil texture,medium,12.8251121076233,1.32698819438089,6
porosity,bc dose,very high,soil texture,medium,8.34080717488789,1.41850462157955,2
porosity,bc dose,high,soil texture,medium,6.18834080717488,1.73881211677496,4
porosity,bc dose,med,soil texture,medium,3.31838565022421,1.64729568957628,2
porosity,bc dose,very high,soil texture,fine,8.69955156950672,1.60153747597693,3
porosity,bc dose,very high,soil texture,fine,7.26457399103138,1.7845703303743,2
porosity,bc dose,high,soil texture,fine,4.57399103139013,1.18971355358287,3
porosity,bc dose,med,soil texture,fine,2.95964125560538,1.18971355358287,3
porosity,bc dose,low,soil texture,fine,2.95964125560538,1.18971355358287,3
porosity,bc dose,very low,soil texture,fine,2.95964125560538,1.18971355358287,3
porosity,bc dose,long term,soil texture,coarse,1.1659192825112,1.41850462157957,3
porosity,bc dose,medium term,soil texture,coarse,3.85650224215246,1.09819712638419,7
porosity,bc dose,short term,soil texture,coarse,16.4125560538116,0.686373203990128,17
porosity,bc dose,long term,soil texture,medium,13.9013452914798,4.1182392239407,1
porosity,bc dose,medium term,soil texture,medium,3.49775784753363,1.5557792623776,4
porosity,bc dose,short term,soil texture,medium,10.134529147982,1.55577926237758,2
porosity,bc dose,medium term,soil texture,fine,7.4439461883408,0.732131417589459,2
porosity,bc dose,short term,soil texture,fine,2.78026905829596,0.960922485586162,4
porosity,bc dose,very low,,,5.84766584766584,0.661886376172089,126
porosity,bc dose,low,,,5.84766584766584,0.661886376172089,126
porosity,bc dose,med,,,6.37837837837837,1.00787243644386,71
porosity,bc dose,high,,,7.73464373464373,1.14325828611543,49
porosity,bc dose,high,,,9.38574938574938,1.17334403048688,46
porosity,bc dose,high,,,7.91154791154791,1.26360126360124,54
porosity,bc dose,very high,,,7.91154791154791,1.26360126360124,54
SOC,bc dose,very low,,,15.7948717948717,1.92761492268176,95
SOC,bc dose,low,,,15.7948717948717,1.92761492268176,95
SOC,bc dose,med,,,34.6666666666666,3.09559596239314,47
SOC,bc dose,high,,,44.5128205128205,4.15270128404898,32
SOC,bc dose,high,,,60.5128205128205,4.68842030226344,30
SOC,bc dose,high,,,73.2307692307692,6.2725909275538,23
SOC,bc dose,very high,,,73.2307692307692,6.2725909275538,23
