ind_code,wm_mean_wm_mean_N rate,wm_mean_wm_mean_SOC,wm_mean_wm_mean_SSA,wm_mean_wm_mean_ash content,wm_mean_wm_mean_bc C:N,wm_mean_wm_mean_bc CEC,wm_mean_wm_mean_bc c content,wm_mean_wm_mean_bc dose,wm_mean_wm_mean_bc hydrogen,wm_mean_wm_mean_bc n content,wm_mean_wm_mean_bc ph,wm_mean_wm_mean_bulk density,wm_mean_wm_mean_climate,wm_mean_wm_mean_crop type,wm_mean_wm_mean_particle size,wm_mean_wm_mean_soil C:N,wm_mean_wm_mean_soil N,wm_mean_wm_mean_soil ph,wm_mean_wm_mean_soil texture,wm_mean_wm_mean_time frame,wm_mean_wm_mean_water management,wm_sd_wm_sd_N rate,wm_sd_wm_sd_SOC,wm_sd_wm_sd_SSA,wm_sd_wm_sd_ash content,wm_sd_wm_sd_bc C:N,wm_sd_wm_sd_bc CEC,wm_sd_wm_sd_bc c content,wm_sd_wm_sd_bc dose,wm_sd_wm_sd_bc hydrogen,wm_sd_wm_sd_bc n content,wm_sd_wm_sd_bc ph,wm_sd_wm_sd_bulk density,wm_sd_wm_sd_climate,wm_sd_wm_sd_crop type,wm_sd_wm_sd_particle size,wm_sd_wm_sd_soil C:N,wm_sd_wm_sd_soil N,wm_sd_wm_sd_soil ph,wm_sd_wm_sd_soil texture,wm_sd_wm_sd_time frame,wm_sd_wm_sd_water management
N pool,13.0934681331053,14.1605268001874,,13.6153916165877,15.1290955667861,,12.5343477369535,13.6195706883815,,,18.5187617531933,15.9756097560975,,14.2475555146783,,10.4144247254109,15.1955674034154,13.6598136108568,13.505539921807,13.4036481193867,10.6872825394901,0.214815888641786,0.256043744102028,,0.723947232838897,0.358255342679052,,0.875588231755155,0.231769697914083,,,0.239177183786032,0.219555035128801,,0.233419636260526,,0.861136028241558,0.316845608277397,0.267126519764209,0.272106921817742,0.562903482953046,0.25487785227004
SOC,,,,,,,,26.5720476851351,,,,,,,,,,,,,,,,,,,,,1.12018932238912,,,,,,,,,,,,,
WHC,12.5862162866747,12.4235946907932,,21.5211239173732,15.5909407114158,,15.6921542705298,12.132155887087,,,17.8150466887913,14.3196168231709,12.8961675156189,14.0075047282414,,,13.5009051653943,13.9269065850649,20.3690036900369,,,0.792524098853979,1.03275327609927,,2.65101715737909,1.03047252574622,,0.926459122419186,0.876233846673795,,,0.935531392911005,0.692809461032767,0.7448441691052,0.929741156030329,,,1.3079673454346,1.53561195011305,1.74710082544186,,
Y,14.1028715434229,14.5828848614354,,10.8520223961164,14.4826158186194,,14.4911742471181,14.7655375290412,,,17.7158898877822,17.5045171141365,11.2118402392996,13.9108546422167,,9.23890059693611,15.4828117217686,14.2223100306488,17.1599677901196,11.3206882105591,8.23,0.247522473608345,0.214993073464806,,0.608042396177256,0.363044980035349,,0.652169118284503,0.233029419419496,,,0.257905828300985,0.245749613953447,0.276951376707417,0.222953875166702,,0.752307505697413,0.337579619768094,0.277985304888183,0.283499156516203,0.454309603835212,1.61479591836735
bulk density,,,-6.66539026090611,-4.12419604977864,,-7.66487417655682,-7.86601857874372,-7.93224402391208,-9.91020025845122,-6.98075310189251,,,,,-7.86498022418683,,,,-9.01689754313599,-8.50909288474437,,,,0.205844281154426,0.35211794627092,,0.324931950393705,0.180413418482958,0.19079519909759,0.467319794436894,0.174459006368898,,,,,0.352703667830922,,,,0.340648385818257,0.314028034759888,
porosity,,,10.8030834197479,6.06178790927741,,12.5395764435341,0.17012311507906,6.56877057498072,12.7102402607683,8.54776165108148,,,,,14.1562061485792,,,,11.1426592225334,,,,,0.111085888805344,0.785383264870193,,0.523775110274041,0.203382000563143,0.203340275273925,0.613464457502092,0.401425977003036,,,,,0.537656193534632,,,,0.304070176443072,,
soil ph,,13.8957985414396,,,,,,8.88473929401949,,,,,,,,,,10.9138558153429,11.8932007397732,10.2487354699231,,,0.4100408072223,,,,,,0.516799069483115,,,,,,,,,,0.271877354155911,0.340507569241524,0.381283807564245,
soil water content,,10.6329817693071,,,,,,10.4209293161923,,,,,,,,,,,,,,,0.899871715283221,,,,,,0.610861008677282,,,,,,,,,,,,,
