moderator 1,group 1,moderator 2,group 2,ES,SE,n,mean_N pool,mean_SOC,mean_WHC,mean_Y,mean_bulk density,mean_porosity,mean_soil ph,mean_soil water content,sd_N pool,sd_SOC,sd_WHC,sd_Y,sd_bulk density,sd_porosity,sd_soil ph,sd_soil water content
SOC,very high,,,19.0687361419068,3.39381872482916,125,,,,10.3241396696846,,,,,,,,0.431713357047156,,,,
SOC,very low,,,10.6199460916442,1.47835414489244,28,,,,,,,,10.6199460916442,,,,,,,,1.47835414489244
SOC,very low,,,17.960088691796,1.00117652382459,151,,,,,,,17.960088691796,,,,,,,,1.00117652382459,
SOC,very low,,,20.9756097560975,0.585480093676837,84,20.9756097560975,,,,,,,,0.585480093676837,,,,,,,
SOC,very low,,,25.4090150250417,1.04340567612689,154,,,,26.2868183064142,,,,,,,,0.523372898234012,,,,
SOC,very low,,,26.36,0.607142857142857,84,,,,26.2868183064142,,,,,,,,0.523372898234012,,,,
SOC,very low,,,27.1586715867158,2.1522256545298,84,,,27.1586715867158,,,,,,,,2.1522256545298,,,,,
SOC,very low,,,57.6496674057649,7.1835829675551,149,,,,26.2868183064142,,,,,,,,0.523372898234012,,,,
SSA,high,soil texture,coarse,-26.4423076923076,3.14910653256518,7,,,,,-26.4423076923076,,,,,,,,3.14910653256518,,,
SSA,high,soil texture,coarse,5.46666666666666,0.714285714285714,5,,,,,,5.46666666666666,,,,,,,,0.714285714285714,,
SSA,high,soil texture,fine,-4.80769230769231,1.90411092666732,2,,,,,-4.80769230769231,,,,,,,,1.90411092666732,,,
SSA,high,soil texture,fine,2.26666666666666,1.67800453514739,1,,,,,,2.26666666666666,,,,,,,,1.67800453514739,,
SSA,low,soil texture,coarse,-10.8653846153846,1.61117078410311,7,,,,,-10.8653846153846,,,,,,,,1.61117078410311,,,
SSA,low,soil texture,coarse,10.9777777777777,-0.113378684807258,5,,,,,,10.9777777777777,,,,,,,,0.113378684807258,,
SSA,low,soil texture,fine,-1.05769230769231,0.439410213846304,1,,,,,-1.05769230769231,,,,,,,,0.439410213846304,,,
SSA,low,soil texture,fine,8.13333333333333,1.89342403628118,1,,,,,,8.13333333333333,,,,,,,,1.89342403628118,,
SSA,low,soil texture,medium,-13.1730769230769,0.878820427692602,2,,,,,-13.1730769230769,,,,,,,,0.878820427692603,,,
SSA,low,soil texture,medium,1.02222222222222,4.01360544217687,1,,,,,,1.02222222222222,,,,,,,,4.01360544217687,,
SSA,very high,soil texture,coarse,-15.7692307692307,4.90674738795039,2,,,,,-15.7692307692307,,,,,,,,4.90674738795039,,,
SSA,very high,soil texture,fine,-9.71153846153846,2.63646128307781,1,,,,,-9.71153846153846,,,,,,,,2.63646128307781,,,
SSA,very high,soil texture,medium,-7.98076923076923,1.83087589102626,1,,,,,-7.98076923076923,,,,,,,,1.83087589102625,,,
SSA,very low,soil texture,coarse,-7.69230769230769,0.292940142564202,10,,,,,-7.69230769230769,,,,,,,,0.292940142564202,,,
SSA,very low,soil texture,coarse,12.9333333333333,-1.30385487528343,7,,,,,,12.9333333333333,,,,,,,,1.30385487528343,,
SSA,very low,soil texture,fine,-2.5,1.53793574846206,3,,,,,-2.5,,,,,,,,1.53793574846206,,,
SSA,very low,soil texture,medium,-8.26923076923077,0.512645249487354,9,,,,,-8.26923076923077,,,,,,,,0.512645249487354,,,
ash content,high,,,20.066889632107,2.63109728196212,36,,,,20.066889632107,,,,,,,,2.63109728196212,,,,
ash content,high,,,20.0980392156862,5.66270464229648,36,,,20.0980392156862,,,,,,,,5.66270464229648,,,,,
ash content,high,,,20.5333333333333,2.81413013635946,36,20.5333333333333,,,,,,,,2.81413013635946,,,,,,,
