moderator 1,group 1,moderator 2,group 2,ES,SE,n,mean_N pool,mean_SOC,mean_WHC,mean_Y,mean_bulk density,mean_porosity,mean_soil ph,mean_soil water content,sd_N pool,sd_SOC,sd_WHC,sd_Y,sd_bulk density,sd_porosity,sd_soil ph,sd_soil water content
bc dose,med,,,6.37837837837837,1.00787243644386,71,,,,,,6.37837837837837,,,,,,,,1.00787243644386,,
bc dose,med,,,9.13746630727762,2.1315803949612,28,,,,,,,,9.13746630727762,,,,,,,,2.1315803949612
bc dose,med,,,12.1827411167512,0.492302184031497,96,12.1827411167512,,,,,,,,0.492302184031497,,,,,,,
bc dose,med,,,13.6752136752136,1.9004736565113,96,,,13.8485777950817,,,,,,,,1.80798375974442,,,,,
bc dose,med,,,13.7903225806451,0.634231593189771,96,,,,14.3773808966446,,,,,,,,0.568284676474745,,,,
bc dose,med,,,15.5007704160246,5.86695265432293,11,,,13.8485777950817,,,,,,,,1.80798375974442,,,,,
bc dose,med,,,16.6444073455759,1.28189840209872,86,,,,14.3773808966446,,,,,,,,0.568284676474745,,,,
bc dose,med,,,34.6666666666666,3.09559596239314,47,,34.6666666666666,,,,,,,,3.09559596239314,,,,,,
bc dose,med,,,56.0583941605839,22.8471876555499,39,,,,14.3773808966446,,,,,,,,0.568284676474745,,,,
bc dose,med,crop type,grain,6.60535117056856,1.5818335208099,94,,,,6.60535117056856,,,,,,,,1.5818335208099,,,,
bc dose,med,crop type,grain,9.62199312714776,1.72644815501958,71,9.62199312714776,,,,,,,,1.72644815501958,,,,,,,
bc dose,med,soil texture,coarse,-21.0762331838565,3.02004209755651,17,,,,,,-21.0762331838565,,,,,,,,3.02004209755651,,
bc dose,med,soil texture,coarse,-10.6397306397306,0.999724214009921,30,,,,,-10.6397306397306,,,,,,,,0.999724214009921,,,
bc dose,med,soil texture,fine,-6.26262626262626,0.827357970215112,14,,,,,-6.26262626262626,,,,,,,,0.827357970215112,,,
bc dose,med,soil texture,fine,-2.95964125560538,1.18971355358287,3,,,,,,-2.95964125560538,,,,,,,,1.18971355358287,,
bc dose,med,soil texture,medium,-4.78114478114478,0.775648097076668,10,,,,,-4.78114478114478,,,,,,,,0.775648097076668,,,
bc dose,med,soil texture,medium,3.31838565022421,1.64729568957628,2,,,,,,3.31838565022421,,,,,,,,1.64729568957628,,
bc dose,medium term,soil texture,coarse,3.85650224215246,1.09819712638419,7,,,,,,3.85650224215246,,,,,,,,1.09819712638419,,
bc dose,medium term,soil texture,fine,7.4439461883408,0.732131417589459,2,,,,,,7.4439461883408,,,,,,,,0.732131417589459,,
bc dose,medium term,soil texture,medium,3.49775784753363,1.5557792623776,4,,,,,,3.49775784753363,,,,,,,,1.5557792623776,,
bc dose,short term,soil texture,coarse,16.4125560538116,0.686373203990128,17,,,,,,16.4125560538116,,,,,,,,0.686373203990128,,
bc dose,short term,soil texture,fine,2.78026905829596,0.960922485586162,4,,,,,,2.78026905829596,,,,,,,,0.960922485586162,,
bc dose,short term,soil texture,medium,10.134529147982,1.55577926237758,2,,,,,,10.134529147982,,,,,,,,1.55577926237758,,
bc dose,very high,,,0.955315870570107,3.62741696369429,19,,,11.2445124558896,,,,,,,,2.75621304492424,,,,,
bc dose,very high,,,7.91154791154791,1.26360126360124,54,,,,,,7.91154791154791,,,,,,,,1.26360126360124,,
bc dose,very high,,,11.832884097035,1.8909180923043,42,,,,,,,,11.832884097035,,,,,,,,1.8909180923043
bc dose,very high,,,12.5853658536585,1.49328023892482,35,,,,,,,12.5853658536585,,,,,,,,1.49328023892482,
bc dose,very high,,,17.3455759599332,1.46076794657763,59,,,,23.1181773866337,,,,,,,,0.784295429405678,,,,
bc dose,very high,,,25.2991452991452,4.23951815683293,60,,,11.2445124558896,,,,,,,,2.75621304492424,,,,,
bc dose,very high,,,25.4032258064516,0.930206336678316,60,,,,23.1181773866337,,,,,,,,0.784295429405678,,,,
bc dose,very high,,,26.0406091370558,0.760830648048699,60,26.0406091370558,,,,,,,,0.760830648048699,,,,,,,
bc dose,very high,,,70.0729927007299,26.9910403185663,22,,,,23.1181773866337,,,,,,,,0.784295429405678,,,,
bc dose,very high,,,73.2307692307692,6.2725909275538,23,,73.2307692307692,,,,,,,,6.2725909275538,,,,,,
bc dose,very high,crop type,grain,12.78,1.44373694359634,108,,,,12.78,,,,,,,,1.44373694359634,,,,
bc dose,very high,crop type,grain,29.2096219931271,3.78787878787878,15,29.2096219931271,,,,,,,,3.78787878787878,,,,,,,
bc dose,very high,soil texture,coarse,-15.5555555555555,1.06867071152786,18,,,,,-9.42177097944912,,,,,,,,0.579355107711145,,,
bc dose,very high,soil texture,coarse,-6.86868686868686,0.68946497517926,6,,,,,-9.42177097944912,,,,,,,,0.579355107711145,,,
bc dose,very high,soil texture,coarse,5.65022421524663,1.28122998078155,4,,,,,,12.3770053908792,,,,,,,,0.692834838326071,,
bc dose,very high,soil texture,coarse,15.1569506726457,0.823647844788138,8,,,,,,12.3770053908792,,,,,,,,0.692834838326071,,
bc dose,very high,soil texture,fine,-12.7272727272727,2.34418091560948,8,,,,,-10.3138047138047,,,,,,,,1.40650854936569,,,
bc dose,very high,soil texture,fine,-8.95622895622895,1.75813568670711,4,,,,,-10.3138047138047,,,,,,,,1.40650854936569,,,
bc dose,very high,soil texture,fine,7.26457399103138,1.7845703303743,2,,,,,,8.05940315958965,,,,,,,,1.19193190854365,,
bc dose,very high,soil texture,fine,8.69955156950672,1.60153747597693,3,,,,,,8.05940315958965,,,,,,,,1.19193190854365,,
bc dose,very high,soil texture,medium,-10.9090909090909,0.465388858245995,7,,,,,-10.0472500472501,,,,,,,,0.424398108103413,,,
bc dose,very high,soil texture,medium,-5.79124579124579,1.03419746276889,7,,,,,-10.0472500472501,,,,,,,,0.424398108103413,,,
bc dose,very high,soil texture,medium,8.34080717488789,1.41850462157955,2,,,,,,10.7322705713133,,,,,,,,0.969061544433415,,
bc dose,very high,soil texture,medium,12.8251121076233,1.32698819438089,6,,,,,,10.7322705713133,,,,,,,,0.969061544433415,,
bc dose,very low,,,2.31124807395993,4.19518657540294,16,,,9.54586823664673,,,,,,,,2.04295685265976,,,,,
bc dose,very low,,,5.84766584766584,0.661886376172089,126,,,,,,5.84766584766584,,,,,,,,0.661886376172089,,
bc dose,very low,,,6.92682926829268,1.09507217521155,38,,,,,,,6.92682926829268,,,,,,,,1.09507217521155,
bc dose,very low,,,8.37563451776649,0.604189044038668,20,8.37563451776649,,,,,,,,0.604189044038668,,,,,,,
bc dose,very low,,,10.3504043126684,1.16893118433355,88,,,,,,,,10.3504043126684,,,,,,,,1.16893118433355
bc dose,very low,,,11.7948717948717,2.33904450032162,20,,,9.54586823664673,,,,,,,,2.04295685265976,,,,,
bc dose,very low,,,11.9758064516129,0.655372646296071,20,,,,12.1082285517126,,,,,,,,0.561005494425414,,,,
bc dose,very low,,,12.4373956594323,1.16265203911281,113,,,,12.1082285517126,,,,,,,,0.561005494425414,,,,
bc dose,very low,,,12.7007299270073,3.0238924838228,22,,,,12.1082285517126,,,,,,,,0.561005494425414,,,,
bc dose,very low,,,15.7948717948717,1.92761492268176,95,,15.7948717948717,,,,,,,,1.92761492268176,,,,,,
bc dose,very low,crop type,grain,9.19732441471572,1.45629117788847,109,,,,9.19732441471572,,,,,,,,1.45629117788847,,,,
bc dose,very low,crop type,grain,9.45017182130584,1.44300144300144,102,9.45017182130584,,,,,,,,1.44300144300144,,,,,,,
bc dose,very low,soil texture,coarse,-21.0762331838565,3.02004209755651,17,,,,,,-21.0762331838565,,,,,,,,3.02004209755651,,
bc dose,very low,soil texture,coarse,-10.6397306397306,0.999724214009921,30,,,,,-10.6397306397306,,,,,,,,0.999724214009921,,,
bc dose,very low,soil texture,fine,-6.26262626262626,0.827357970215112,14,,,,,-6.26262626262626,,,,,,,,0.827357970215112,,,
bc dose,very low,soil texture,fine,-2.95964125560538,1.18971355358287,3,,,,,,-2.95964125560538,,,,,,,,1.18971355358287,,
bc dose,very low,soil texture,medium,-4.78114478114478,0.775648097076668,10,,,,,-4.78114478114478,,,,,,,,0.775648097076668,,,
bc hydrogen,high,soil texture,coarse,-9.42307692307692,1.03519668737059,9,,,,,-9.42307692307692,,,,,,,,1.03519668737059,,,
bc hydrogen,high,soil texture,coarse,12.7555555555555,1.5032798833819,5,,,,,,12.7555555555555,,,,,,,,1.5032798833819,,
bc hydrogen,high,soil texture,fine,-3.94230769230769,3.17953268263825,2,,,,,-3.94230769230769,,,,,,,,3.17953268263825,,,
bc hydrogen,low,soil texture,coarse,-6.53846153846154,1.25702454895002,5,,,,,-6.53846153846154,,,,,,,,1.25702454895002,,,
bc hydrogen,low,soil texture,coarse,22.7111111111111,1.77660349854227,2,,,,,,22.7111111111111,,,,,,,,1.77660349854227,,
bc hydrogen,low,soil texture,fine,-9.13461538461538,1.99645075421472,5,,,,,-9.13461538461538,,,,,,,,1.99645075421472,,,
bc hydrogen,low,soil texture,fine,-3.24444444444444,1.27551020408163,2,,,,,,-3.24444444444444,,,,,,,,1.27551020408163,,
bc hydrogen,low,soil texture,medium,-7.98076923076923,1.18308192842352,6,,,,,-7.98076923076923,,,,,,,,1.18308192842352,,,
bc hydrogen,low,soil texture,medium,9.02222222222222,1.22995626822157,4,,,,,,9.02222222222222,,,,,,,,1.22995626822157,,
bc hydrogen,very high,soil texture,coarse,-12.3076923076923,4.80627033422064,2,,,,,-12.3076923076923,,,,,,,,4.80627033422064,,,
bc hydrogen,very high,soil texture,medium,-12.0192307692307,5.76752440106476,2,,,,,-12.0192307692307,,,,,,,,5.76752440106476,,,
bc hydrogen,very low,soil texture,coarse,-29.9038461538461,6.13723750369714,3,,,,,-29.9038461538461,,,,,,,,6.13723750369714,,,
bc hydrogen,very low,soil texture,coarse,29.2888888888888,1.32106413994171,1,,,,,,29.2888888888888,,,,,,,,1.32106413994171,,
bc hydrogen,very low,soil texture,fine,-19.8076923076923,7.09849157054125,1,,,,,-19.8076923076923,,,,,,,,7.09849157054125,,,
bc hydrogen,very low,soil texture,medium,-12.0192307692307,0.73942620526472,3,,,,,-12.0192307692307,,,,,,,,0.73942620526472,,,
bc hydrogen,very low,soil texture,medium,3.68888888888889,4.50983965014577,1,,,,,,3.68888888888889,,,,,,,,4.50983965014577,,
bc n content,high,soil texture,coarse,-18.6538461538461,1.83087589102627,5,,,,,-18.6538461538461,,,,,,,,1.83087589102627,,,
bc n content,high,soil texture,coarse,29.8222222222222,2.81179138321995,1,,,,,,29.8222222222222,,,,,,,,2.81179138321995,,
bc n content,high,soil texture,fine,-6.25,0.366175178205253,4,,,,,-6.25,,,,,,,,0.366175178205253,,,
bc n content,high,soil texture,fine,9.02222222222222,1.81405895691608,1,,,,,,9.02222222222222,,,,,,,,1.81405895691608,,
bc n content,high,soil texture,medium,-7.11538461538462,1.17176057025681,5,,,,,-7.11538461538462,,,,,,,,1.17176057025681,,,
bc n content,high,soil texture,medium,4.75555555555555,2.08616780045351,3,,,,,,4.75555555555555,,,,,,,,2.08616780045351,,
bc n content,low,soil texture,coarse,-6.53846153846154,0.292940142564202,18,,,,,-6.53846153846154,,,,,,,,0.292940142564202,,,
bc n content,low,soil texture,coarse,10.9777777777777,0.816326530612224,9,,,,,,10.9777777777777,,,,,,,,0.816326530612224,,
bc n content,low,soil texture,fine,-9.42307692307692,1.9041109266673,7,,,,,-9.42307692307692,,,,,,,,1.9041109266673,,,
bc n content,low,soil texture,fine,4.04444444444444,1.26984126984127,3,,,,,,4.04444444444444,,,,,,,,1.26984126984127,,
bc n content,low,soil texture,medium,-8.26923076923077,0.512645249487355,7,,,,,-8.26923076923077,,,,,,,,0.512645249487355,,,
bc n content,low,soil texture,medium,7.6,1.26984126984127,2,,,,,,7.6,,,,,,,,1.26984126984127,,
bc n content,very high,soil texture,coarse,-20.3846153846153,2.63646128307783,5,,,,,-20.3846153846153,,,,,,,,2.63646128307783,,,
bc n content,very high,soil texture,coarse,4.22222222222222,0.907029478458051,3,,,,,,4.22222222222222,,,,,,,,0.907029478458051,,
bc n content,very high,soil texture,medium,-3.36538461538462,2.70969631871887,2,,,,,-3.36538461538462,,,,,,,,2.70969631871887,,,
bc n content,very high,soil texture,medium,8.84444444444444,1.63265306122448,2,,,,,,8.84444444444444,,,,,,,,1.63265306122448,,
bc n content,very low,soil texture,coarse,-6.82692307692308,0.366175178205253,14,,,,,-6.82692307692308,,,,,,,,0.366175178205253,,,
bc n content,very low,soil texture,coarse,13.6444444444444,1.08843537414964,7,,,,,,13.6444444444444,,,,,,,,1.08843537414964,,
bc n content,very low,soil texture,fine,-8.26923076923077,1.7576408553852,4,,,,,-8.26923076923077,,,,,,,,1.7576408553852,,,
bc n content,very low,soil texture,fine,2.26666666666666,2.90249433106576,1,,,,,,2.26666666666666,,,,,,,,2.90249433106576,,
bc n content,very low,soil texture,medium,-8.26923076923077,1.31823064153889,5,,,,,-8.26923076923077,,,,,,,,1.31823064153889,,,
bc n content,very low,soil texture,medium,6,1.99546485260771,1,,,,,,6,,,,,,,,1.99546485260771,,
bc ph,alkaline,,,17.4836601307189,1.56985871271584,154,,,17.4836601307189,,,,,,,,1.56985871271584,,,,,
bc ph,alkaline,,,17.6588628762541,0.43470302919375,154,,,,17.6588628762541,,,,,,,,0.43470302919375,,,,
bc ph,alkaline,,,18.1333333333333,0.388944815594413,154,18.1333333333333,,,,,,,,0.388944815594413,,,,,,,
bc ph,neutral,,,18.6274509803921,1.73805786050684,127,,,18.6274509803921,,,,,,,,1.73805786050684,,,,,
bc ph,neutral,,,18.7290969899665,0.503340349592755,127,,,,18.7290969899665,,,,,,,,0.503340349592755,,,,
bc ph,neutral,,,20.2666666666666,0.503340349592755,127,20.2666666666666,,,,,,,,0.503340349592755,,,,,,,
bc ph,very alkaline,,,17.4836601307189,1.56985871271584,154,,,17.4836601307189,,,,,,,,1.56985871271584,,,,,
bc ph,very alkaline,,,17.6588628762541,0.43470302919375,154,,,,17.6588628762541,,,,,,,,0.43470302919375,,,,
bc ph,very alkaline,,,18.1333333333333,0.388944815594413,154,18.1333333333333,,,,,,,,0.388944815594413,,,,,,,
bc ph,alkaline,crop type,grain,7.22772277227722,2.1473515996937,128,,,,7.22772277227722,,,,,,,,2.1473515996937,,,,
bc ph,alkaline,crop type,grain,8.13895781637717,2.64673569264571,102,8.13895781637717,,,,,,,,2.64673569264571,,,,,,,
bc ph,neutral,crop type,grain,23.09,3.01785714285714,74,,,,23.09,,,,,,,,3.01785714285714,,,,
bc ph,neutral,crop type,grain,23.95,3.80102040816327,59,23.95,,,,,,,,3.80102040816327,,,,,,,
bc ph,very alkaline,crop type,grain,8.01980198019802,2.38039750973799,105,,,,8.01980198019802,,,,,,,,2.38039750973799,,,,
bc ph,very alkaline,crop type,grain,11.6129032258064,3.14611978559775,73,11.6129032258064,,,,,,,,3.14611978559775,,,,,,,
bulk density,high,,,8.59784283513097,4.76295618711163,12,,,16.4504593125411,,,,,,,,1.33665357744385,,,,,
bulk density,high,,,13.9024390243902,0.439110070257602,145,13.9024390243902,,,,,,,,0.439110070257602,,,,,,,
bulk density,high,,,17.1217712177121,1.39261659998987,145,,,16.4504593125411,,,,,,,,1.33665357744385,,,,,
bulk density,high,,,19.4833948339483,0.523120640661327,145,,,,19.4833948339483,,,,,,,,0.523120640661327,,,,
bulk density,low,,,-1.51001540832049,2.39724947165883,31,,,9.56229667740116,,,,,,,,1.32803247853033,,,,,
bulk density,low,,,14.4649446494464,1.59517901453385,121,,,9.56229667740116,,,,,,,,1.32803247853033,,,,,
bulk density,low,,,15.940959409594,0.46499612503227,121,,,,15.940959409594,,,,,,,,0.46499612503227,,,,
bulk density,low,,,18.0487804878048,0.439110070257602,121,18.0487804878048,,,,,,,,0.439110070257602,,,,,,,
bulk density,very high,,,13.9024390243902,0.439110070257602,145,13.9024390243902,,,,,,,,0.439110070257602,,,,,,,
bulk density,very high,,,17.1217712177121,1.39261659998987,145,,,17.3220353627825,,,,,,,,1.37608774204019,,,,,
bulk density,very high,,,19.4833948339483,0.523120640661327,145,,,,19.4833948339483,,,,,,,,0.523120640661327,,,,
bulk density,very high,,,25.6086286594761,8.95814276251459,6,,,17.3220353627825,,,,,,,,1.37608774204019,,,,,
bulk density,very low,,,10.4468412942989,5.29918304261426,8,,,14.1310952694971,,,,,,,,1.52747340063067,,,,,
bulk density,very low,,,14.4649446494464,1.59517901453385,121,,,14.1310952694971,,,,,,,,1.52747340063067,,,,,
bulk density,very low,,,15.940959409594,0.46499612503227,121,,,,15.940959409594,,,,,,,,0.46499612503227,,,,
bulk density,very low,,,18.0487804878048,0.439110070257602,121,18.0487804878048,,,,,,,,0.439110070257602,,,,,,,
climate,irrigation,,,1.24,0.635204081632653,46,,,,10.4199917495409,,,,,,,,0.297024382493311,,,,
climate,irrigation,,,1.36752136752136,2.80685340038594,46,,,11.293927915875,,,,,,,,1.12572898900044,,,,,
climate,irrigation,,,11.97,0.507385274551811,107,,,,10.4199917495409,,,,,,,,0.297024382493311,,,,
climate,irrigation,,,12.09,0.634231593189745,64,,,,10.4199917495409,,,,,,,,0.297024382493311,,,,
climate,irrigation,,,12.4786324786324,2.33904450032159,64,,,11.293927915875,,,,,,,,1.12572898900044,,,,,
climate,irrigation,,,12.8205128205128,1.9004736565113,107,,,11.293927915875,,,,,,,,1.12572898900044,,,,,
climate,irrigation,,,14.3589743589743,2.22209227530554,70,,,11.293927915875,,,,,,,,1.12572898900044,,,,,
climate,irrigation,,,15.48,0.63423159318977,70,,,,10.4199917495409,,,,,,,,0.297024382493311,,,,
climate,water management,,,5.55,2.8469387755102,112,,,,16.4834492116071,,,,,,,,0.766377330031364,,,,
climate,water management,,,6.49572649572649,1.81275948774923,112,,,14.1438093928184,,,,,,,,0.9933792658283,,,,,
climate,water management,,,15.8974358974358,1.72504531898719,118,,,14.1438093928184,,,,,,,,0.9933792658283,,,,,
climate,water management,,,15.96,1.22618108016689,118,,,,16.4834492116071,,,,,,,,0.766377330031364,,,,
climate,water management,,,18.34,1.04591836734694,151,,,,16.4834492116071,,,,,,,,0.766377330031364,,,,
climate,water management,,,18.8034188034188,1.63733115022515,151,,,14.1438093928184,,,,,,,,0.9933792658283,,,,,
crop type,grain,,,10.0507614213197,0.358037952022916,236,10.5245831156661,,,,,,,,0.312501199413702,,,,,,,
crop type,grain,,,10.73,0.584183673469387,378,,,,11.3890428644206,,,,,,,,0.292726536898319,,,,
crop type,grain,,,11.61,0.338256849701199,236,,,,11.3890428644206,,,,,,,,0.292726536898319,,,,
crop type,grain,,,11.6239316239316,1.14028419390677,236,,,11.6239316239316,,,,,,,,1.14028419390677,,,,,
crop type,grain,,,12.04,0.64030612244898,301,10.5245831156661,,,,,,,,0.312501199413702,,,,,,,
crop type,grain crop,,,9.28213689482471,0.715478177915566,175,,,,9.28213689482471,,,,,,,,0.715478177915566,,,,
crop type,industrial,,,16.69,0.993629495997296,33,,,,16.69,,,,,,,,0.993629495997296,,,,
crop type,industrial,,,22.994923857868,0.716075904045817,33,22.994923857868,,,,,,,,0.716075904045817,,,,,,,
crop type,industrial,,,26.6666666666666,3.12847201918015,33,,,26.6666666666666,,,,,,,,3.12847201918015,,,,,
crop type,others,,,17.1118530884808,1.10302885761982,67,,,,22.456209780706,,,,,,,,0.946838325571405,,,,
crop type,others,,,17.4624373956594,4.82947770093012,10,,,,22.456209780706,,,,,,,,0.946838325571405,,,,
crop type,others,,,40.8347245409015,1.99737658001431,59,,,,22.456209780706,,,,,,,,0.946838325571405,,,,
crop type,vegetables,,,15.8974358974358,1.8712356002573,112,,,15.8974358974358,,,,,,,,1.8712356002573,,,,,
crop type,vegetables,,,17.6649746192893,0.402792696025765,112,17.6649746192893,,,,,,,,0.402792696025765,,,,,,,
crop type,vegetables,,,18.99,0.486244221445484,112,,,,19.8954591113437,,,,,,,,0.478616985365884,,,,
crop type,vegetables,,,48.0801335559265,2.7128547579299,26,,,,19.8954591113437,,,,,,,,0.478616985365884,,,,
particle size,big,soil texture,coarse,-11.8518518518518,1.1031439602868,25,,,,,-11.8518518518518,,,,,,,,1.1031439602868,,,
particle size,big,soil texture,fine,-9.96632996632996,1.37892995035852,10,,,,,-9.96632996632996,,,,,,,,1.37892995035852,,,
particle size,big,soil texture,medium,-7.67676767676767,2.05115830115828,6,,,,,-7.67676767676767,,,,,,,,2.05115830115828,,,
particle size,high,soil texture,coarse,18.9237668161434,0.869406058387474,12,,,,,,18.9237668161434,,,,,,,,0.869406058387474,,
particle size,high,soil texture,fine,2.24215246636771,3.06580031115585,3,,,,,,2.24215246636771,,,,,,,,3.06580031115585,,
particle size,high,soil texture,medium,10.134529147982,1.51002104877824,2,,,,,,10.134529147982,,,,,,,,1.51002104877824,,
particle size,low,soil texture,coarse,29.6860986547085,2.51670174796375,5,,,,,,29.6860986547085,,,,,,,,2.51670174796375,,
particle size,small,soil texture,coarse,-12.2558922558922,1.25827357970213,11,,,,,-12.2558922558922,,,,,,,,1.25827357970213,,,
particle size,small,soil texture,fine,-3.7037037037037,1.05143408714837,2,,,,,-3.7037037037037,,,,,,,,1.05143408714837,,,
particle size,small,soil texture,medium,-6.12794612794612,1.08590733590734,3,,,,,-6.12794612794612,,,,,,,,1.08590733590734,,,
particle size,very big,soil texture,coarse,-11.1784511784511,1.34445670159954,4,,,,,-11.1784511784511,,,,,,,,1.34445670159954,,,
particle size,very big,soil texture,fine,-10.7744107744107,5.3950634307777,1,,,,,-10.7744107744107,,,,,,,,5.3950634307777,,,
particle size,very big,soil texture,medium,-8.41750841750841,5.2226971869829,1,,,,,-8.41750841750841,,,,,,,,5.2226971869829,,,
particle size,very high,soil texture,coarse,8.69955156950672,1.05243891278484,6,,,,,,8.69955156950672,,,,,,,,1.05243891278484,,
particle size,very low,soil texture,coarse,12.6457399103139,1.37274640798022,7,,,,,,12.6457399103139,,,,,,,,1.37274640798022,,
particle size,very small,soil texture,coarse,-6.5993265993266,0.879067843353559,12,,,,,-6.5993265993266,,,,,,,,0.879067843353559,,,
particle size,very small,soil texture,fine,-4.71380471380471,1.43063982349697,5,,,,,-4.71380471380471,,,,,,,,1.43063982349697,,,
particle size,very small,soil texture,medium,-7.47474747474747,0.775648097076669,5,,,,,-7.47474747474747,,,,,,,,0.775648097076669,,,
soil C:N,high,crop type,grain,7.39,1.58163265306122,49,7.39,,,,,,,,1.58163265306122,,,,,,,
soil C:N,high,crop type,grain,8.23,1.53061224489796,54,,,,8.23,,,,,,,,1.53061224489796,,,,
soil C:N,low,crop type,grain,10.15,1.48724489795918,52,,,,10.15,,,,,,,,1.48724489795918,,,,
soil C:N,low,crop type,grain,12.01,1.66071428571429,40,12.01,,,,,,,,1.66071428571429,,,,,,,
soil C:N,med,crop type,grain,9.26,1.06122448979592,108,,,,9.26,,,,,,,,1.06122448979592,,,,
soil C:N,med,crop type,grain,11.49,1.30612244897959,67,11.49,,,,,,,,1.30612244897959,,,,,,,
soil N,high,,,7.63837638376383,0.716869026091449,53,,,,7.63837638376383,,,,,,,,0.716869026091449,,,,
soil N,high,,,10.4797047970479,2.73459259634373,53,,,10.4797047970479,,,,,,,,2.73459259634373,,,,,
soil N,high,,,11.3414634146341,0.669120107059209,53,11.3414634146341,,,,,,,,0.669120107059209,,,,,,,
soil N,low,,,24.86,0.561224489795918,76,,,,24.86,,,,,,,,0.561224489795918,,,,
soil N,low,,,27.1951219512195,0.62730010036801,76,27.1951219512195,,,,,,,,0.62730010036801,,,,,,,
soil N,low,,,30.5535055350553,2.58267078543577,76,,,30.5535055350553,,,,,,,,2.58267078543577,,,,,
soil N,med,,,6.34686346863468,1.82306173089582,111,,,6.34686346863468,,,,,,,,1.82306173089582,,,,,
soil N,med,,,10.9756097560975,0.439110070257602,111,10.9756097560975,,,,,,,,0.439110070257602,,,,,,,
soil N,med,,,11.5129151291512,0.523120640661327,111,,,,11.5129151291512,,,,,,,,0.523120640661327,,,,
soil ph,acidic,,,5.86715867158671,0.678119349005426,80,,,,5.86715867158671,,,,,,,,0.678119349005426,,,,
soil ph,acidic,,,10.7317073170731,0.543660086985592,80,10.7317073170731,,,,,,,,0.543660086985592,,,,,,,
soil ph,acidic,,,12.1033210332103,2.98779561452372,80,,,12.1033210332103,,,,,,,,2.98779561452372,,,,,
soil ph,acidic,crop type,grain,10.5166051660516,0.966295609152742,136,,,,10.5166051660516,,,,,,,,0.966295609152743,,,,
soil ph,acidic,crop type,grain,11.070110701107,0.996060029217748,125,11.070110701107,,,,,,,,0.996060029217748,,,,,,,
soil ph,alkaline,,,7.92682926829268,0.522750083640013,120,7.92682926829268,,,,,,,,0.522750083640013,,,,,,,
soil ph,alkaline,,,12.3985239852398,0.542495479204337,120,,,,12.3985239852398,,,,,,,,0.542495479204337,,,,
soil ph,alkaline,,,12.3985239852398,2.55735048361777,120,,,12.3985239852398,,,,,,,,2.55735048361777,,,,,
soil ph,alkaline,crop type,grain,31.6,2.9030612244898,17,,,,31.6,,,,,,,,2.9030612244898,,,,
soil ph,alkaline,crop type,grain,32.18,3.04336734693878,15,32.18,,,,,,,,3.04336734693878,,,,,,,
soil ph,neutral,,,16.6789667896678,2.50670987998176,116,,,16.6789667896678,,,,,,,,2.50670987998176,,,,,
soil ph,neutral,,,20.9225092250922,0.484370963575281,116,,,,20.9225092250922,,,,,,,,0.484370963575281,,,,
soil ph,neutral,,,21.3414634146341,0.460020073603214,116,21.3414634146341,,,,,,,,0.460020073603214,,,,,,,
soil ph,neutral,crop type,grain,7.93357933579335,0.828253379273788,199,,,,7.93357933579335,,,,,,,,0.828253379273788,,,,
soil ph,neutral,crop type,grain,9.40959409594095,0.940723360927875,146,9.40959409594095,,,,,,,,0.940723360927875,,,,,,,
soil ph,acidic,,,6.11973392461197,0.526041902348523,98,,,,,,,10.9138558153429,,,,,,,,0.271877354155911,
soil ph,acidic,,,7.91574279379157,0.559980089596814,99,,,,,,,10.9138558153429,,,,,,,,0.271877354155911,
soil ph,acidic,,,12.6385809312638,3.2241277885877,73,,,,29.2328720425494,,,,,,,,1.47684670232933,,,,
soil ph,acidic,,,13.2372505543237,0.61088737046926,155,,,,,,,10.9138558153429,,,,,,,,0.271877354155911,
soil ph,acidic,,,14.8337028824833,0.780578306710715,162,,,,,,,10.9138558153429,,,,,,,,0.271877354155911,
soil ph,acidic,,,16.8292682926829,0.644825557717551,307,,,,,,,10.9138558153429,,,,,,,,0.271877354155911,
soil ph,acidic,,,26.8292682926829,2.20598217113898,91,,,,29.2328720425494,,,,,,,,1.47684670232933,,,,
soil ph,acidic,,,34.1463414634146,5.1472917326576,116,,,,29.2328720425494,,,,,,,,1.47684670232933,,,,
soil ph,acidic,,,45.2328159645232,3.50694601565681,218,,,,29.2328720425494,,,,,,,,1.47684670232933,,,,
soil ph,acidic,,,45.2328159645232,5.14729173265758,101,,,,29.2328720425494,,,,,,,,1.47684670232933,,,,
soil texture,coarse,,,-10.4,0.501482644339775,49,,,,,-10.4,,,,,,,,0.501482644339775,,,
soil texture,coarse,,,6.21951219512195,0.41820006691201,157,6.21951219512195,,,,,,,,0.41820006691201,,,,,,,
soil texture,coarse,,,8.47,0.696428571428571,157,,,,8.47,,,,,,,,0.696428571428571,,,,
soil texture,coarse,,,12.3,0.337595016661964,23,,,,,,12.3,,,,,,,,0.337595016661964,,
soil texture,coarse,crop type,grain,8.52398523985239,1.70068027210882,58,,,,8.52398523985239,,,,,,,,1.70068027210882,,,,
soil texture,coarse,crop type,grain,8.91143911439114,1.81271212588707,49,8.91143911439114,,,,,,,,1.81271212588707,,,,,,,
soil texture,coarse (sand),,,14.5011086474501,0.916331055703877,166,,,,,,,14.5011086474501,,,,,,,,0.916331055703877,
soil texture,coarse (sand),,,56.3192904656319,3.73320059731209,143,,,,56.3192904656319,,,,,,,,3.73320059731209,,,,
