meta_analytical_study,studyid,lat,lon,experiment_type,crop,crop_type,water_management,rain,irr,n_fer,p_fer,k_fer,texture,sbd,sph,soc,stn,bph,btc,btn,brate,sbdc_mean,sbdc_sd,sbdc_n,sbdr_mean,sbdr_sd,sbdr_n,clayall,sandall,clay,sand,rain_scaled,irr_scaled,n_fer_scaled,p_fer_scaled,k_fer_scaled,sbd_scaled,sph_scaled,soc_scaled,stn_scaled,bph_scaled,btc_scaled,btn_scaled,brate_scaled,clay_scaled,sand_scaled
Wu22,1953,34.3,73.6,unknown,unknown,legumes,rainfed,85.47011645,225,23,100,80,clay loam,1.31,6.4,9.5,0.95,9.8,489.6,9.8,0,1.46,0.0997512735492747,,1.42,0.0904626834057832,,30.1,22.43333333,30.1,22.43333333,-0.284534037211022,-0.116191829706852,-1.14723801287895,0.115519806874158,-0.209336408276515,0.414744556458788,0.0726112336281225,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.889248662083847,0.528468760578871,-0.405838479518608
Wu22,1954,34.3,73.6,unknown,unknown,legumes,rainfed,85.47011645,225,23,100,80,clay loam,1.31,6.4,9.5,0.95,9.8,489.6,9.8,5,1.46,0.0997512735492747,,1.41,0.0898256222550382,,30.1,22.43333333,30.1,22.43333333,-0.284534037211022,-0.116191829706852,-1.14723801287895,0.115519806874158,-0.209336408276515,0.414744556458788,0.0726112336281225,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.657656207956533,0.528468760578871,-0.405838479518608
Wu22,1955,34.3,73.6,unknown,unknown,legumes,rainfed,85.47011645,225,23,100,80,clay loam,1.31,6.4,9.5,0.95,9.8,489.6,9.8,10,1.46,0.0997512735492747,,1.37,0.0872773776520584,,30.1,22.43333333,30.1,22.43333333,-0.284534037211022,-0.116191829706852,-1.14723801287895,0.115519806874158,-0.209336408276515,0.414744556458788,0.0726112336281225,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.42606375382922,0.528468760578871,-0.405838479518608
Wu22,1956,34.3,73.6,unknown,unknown,legumes,rainfed,85.47011645,225,0,100,80,clay loam,1.31,6.4,9.5,0.95,9.8,489.6,9.8,0,1.46,0.0997512735492747,,1.42,0.0904626834057832,,30.1,22.43333333,30.1,22.43333333,-0.284534037211022,-0.116191829706852,-1.35495621290769,0.115519806874158,-0.209336408276515,0.414744556458788,0.0726112336281225,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.889248662083847,0.528468760578871,-0.405838479518608
Wu22,1957,34.3,73.6,unknown,unknown,legumes,rainfed,85.47011645,225,0,100,80,clay loam,1.31,6.4,9.5,0.95,9.8,489.6,9.8,5,1.46,0.0997512735492747,,1.4,0.0891885611042933,,30.1,22.43333333,30.1,22.43333333,-0.284534037211022,-0.116191829706852,-1.35495621290769,0.115519806874158,-0.209336408276515,0.414744556458788,0.0726112336281225,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.657656207956533,0.528468760578871,-0.405838479518608
Wu22,1958,34.3,73.6,unknown,unknown,legumes,rainfed,85.47011645,225,0,100,80,clay loam,1.31,6.4,9.5,0.95,9.8,489.6,9.8,10,1.46,0.0997512735492747,,1.37,0.0872773776520584,,30.1,22.43333333,30.1,22.43333333,-0.284534037211022,-0.116191829706852,-1.35495621290769,0.115519806874158,-0.209336408276515,0.414744556458788,0.0726112336281225,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.42606375382922,0.528468760578871,-0.405838479518608
Wu22,1959,34.3,73.6,unknown,unknown,legumes,rainfed,85.47011645,225,23,100,80,clay loam,1.31,6.4,9.5,0.95,9.8,489.6,9.8,0,1.46,0.0997512735492747,,1.43,0.0910997445565281,,30.1,22.43333333,30.1,22.43333333,-0.284534037211022,-0.116191829706852,-1.14723801287895,0.115519806874158,-0.209336408276515,0.414744556458788,0.0726112336281225,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.889248662083847,0.528468760578871,-0.405838479518608
Wu22,1960,34.3,73.6,unknown,unknown,legumes,rainfed,85.47011645,225,23,100,80,clay loam,1.31,6.4,9.5,0.95,9.8,489.6,9.8,5,1.46,0.0997512735492747,,1.4,0.0891885611042933,,30.1,22.43333333,30.1,22.43333333,-0.284534037211022,-0.116191829706852,-1.14723801287895,0.115519806874158,-0.209336408276515,0.414744556458788,0.0726112336281225,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.657656207956533,0.528468760578871,-0.405838479518608
Wu22,1961,34.3,73.6,unknown,unknown,legumes,rainfed,85.47011645,225,23,100,80,clay loam,1.31,6.4,9.5,0.95,9.8,489.6,9.8,10,1.46,0.0997512735492747,,1.36,0.0866403165013135,,30.1,22.43333333,30.1,22.43333333,-0.284534037211022,-0.116191829706852,-1.14723801287895,0.115519806874158,-0.209336408276515,0.414744556458788,0.0726112336281225,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.42606375382922,0.528468760578871,-0.405838479518608
Wu22,1962,34.3,73.6,unknown,unknown,legumes,rainfed,85.47011645,225,0,100,80,clay loam,1.31,6.4,9.5,0.95,9.8,489.6,9.8,0,1.46,0.0997512735492747,,1.41,0.0898256222550382,,30.1,22.43333333,30.1,22.43333333,-0.284534037211022,-0.116191829706852,-1.35495621290769,0.115519806874158,-0.209336408276515,0.414744556458788,0.0726112336281225,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.889248662083847,0.528468760578871,-0.405838479518608
Wu22,1963,34.3,73.6,unknown,unknown,legumes,rainfed,85.47011645,225,0,100,80,clay loam,1.31,6.4,9.5,0.95,9.8,489.6,9.8,5,1.46,0.0997512735492747,,1.39,0.0885514999535483,,30.1,22.43333333,30.1,22.43333333,-0.284534037211022,-0.116191829706852,-1.35495621290769,0.115519806874158,-0.209336408276515,0.414744556458788,0.0726112336281225,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.657656207956533,0.528468760578871,-0.405838479518608
Wu22,1964,34.3,73.6,unknown,unknown,legumes,rainfed,85.47011645,225,0,100,80,clay loam,1.31,6.4,9.5,0.95,9.8,489.6,9.8,10,1.46,0.0997512735492747,,1.35,0.0860032553505685,,30.1,22.43333333,30.1,22.43333333,-0.284534037211022,-0.116191829706852,-1.35495621290769,0.115519806874158,-0.209336408276515,0.414744556458788,0.0726112336281225,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.42606375382922,0.528468760578871,-0.405838479518608
Wu22,1965,34.3,73.6,unknown,unknown,legumes,rainfed,85.47011645,225,23,100,80,clay loam,1.31,6.4,9.5,0.95,9.8,489.6,9.8,0,1.46,0.0997512735492747,,1.42,0.0904626834057832,,30.1,22.43333333,30.1,22.43333333,-0.284534037211022,-0.116191829706852,-1.14723801287895,0.115519806874158,-0.209336408276515,0.414744556458788,0.0726112336281225,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.889248662083847,0.528468760578871,-0.405838479518608
Wu22,1966,34.3,73.6,unknown,unknown,legumes,rainfed,85.47011645,225,23,100,80,clay loam,1.31,6.4,9.5,0.95,9.8,489.6,9.8,5,1.46,0.0997512735492747,,1.38,0.0879144388028034,,30.1,22.43333333,30.1,22.43333333,-0.284534037211022,-0.116191829706852,-1.14723801287895,0.115519806874158,-0.209336408276515,0.414744556458788,0.0726112336281225,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.657656207956533,0.528468760578871,-0.405838479518608
Wu22,1967,34.3,73.6,unknown,unknown,legumes,rainfed,85.47011645,225,23,100,80,clay loam,1.31,6.4,9.5,0.95,9.8,489.6,9.8,10,1.46,0.0997512735492747,,1.36,0.0866403165013135,,30.1,22.43333333,30.1,22.43333333,-0.284534037211022,-0.116191829706852,-1.14723801287895,0.115519806874158,-0.209336408276515,0.414744556458788,0.0726112336281225,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.42606375382922,0.528468760578871,-0.405838479518608
Wu22,2299,43.2,12,unknown,unknown,unknown,rainfed,63.78793218,225,150,100,80,clay loam,1.42,7.73333333333333,9.5,0.95,9.8,489.6,9.8,0,1.45,0.0990680456482523,,1.45,0.092373866858018,,30.03333333,22.23333333,30.03333333,22.23333333,-0.376833891205837,-0.116191829706852,-0.000272299676764928,0.115519806874158,-0.209336408276515,0.99895982225056,1.10795665672513,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,-0.889248662083847,0.518890822910174,-0.425139452185002
Wu22,2300,43.2,12,unknown,unknown,unknown,rainfed,63.78793218,225,150,100,80,clay loam,1.42,7.73333333333333,9.5,0.95,9.8,489.6,9.8,22,1.45,0.0990680456482523,,1.43,0.0910997445565281,,30.03333333,22.23333333,30.03333333,22.23333333,-0.376833891205837,-0.116191829706852,-0.000272299676764928,0.115519806874158,-0.209336408276515,0.99895982225056,1.10795665672513,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,0.129758136076333,0.518890822910174,-0.425139452185002
Wu22,2301,43.2,12,unknown,unknown,unknown,rainfed,63.78793218,225,150,100,80,clay loam,1.42,7.73333333333333,9.5,0.95,9.8,489.6,9.8,44,1.45,0.0990680456482523,,1.38,0.0879144388028034,,30.03333333,22.23333333,30.03333333,22.23333333,-0.376833891205837,-0.116191829706852,-0.000272299676764928,0.115519806874158,-0.209336408276515,0.99895982225056,1.10795665672513,-0.0567885417338748,-0.0570983200422862,-0.0242136554802409,-0.217994819042668,-0.0130889536965697,1.14876493423651,0.518890822910174,-0.425139452185002
Han22,80,36.5667,116.8333,field,wheat,grain,irrigation and rain,100.5,370,225,150,150,loam,1.35,7.06666666666667,2.2,1.07,9.48,698.56,12.35,20,1.51,0.05,3,1.44,0.03,3,26.53333333,25.1,26.53333333,25.1,-0.220552657846789,5.27451315075871,0.6770696569387,3.58818562348911,1.77457746496242,0.62718647129216,0.590283945176628,-2.99198415272137,1.46860577825362,-3.51733116738513,3.80669085422305,3.81133970452009,0.0371211544254073,0.0160491204456585,-0.148492176978338
Han22,81,36.5667,116.8333,field,wheat,grain,irrigation and rain,100.5,300,225,150,150,loam,1.35,7.06666666666667,2.2,1.07,9.48,698.56,12.35,20,1.53,0.06,3,1.47,0.03,3,26.53333333,25.1,26.53333333,25.1,-0.220552657846789,2.6721038498443,0.6770696569387,3.58818562348911,1.77457746496242,0.62718647129216,0.590283945176628,-2.99198415272137,1.46860577825362,-3.51733116738513,3.80669085422305,3.81133970452009,0.0371211544254073,0.0160491204456585,-0.148492176978338
Han22,111,36.8667,106,field,maize,grain,irrigation and rain,187,500,225,120,80,sandy loam,1.4,8.23333333333333,8.2,0.7,9.3,439.01,11.83,3.951,1.41009,0.02477,3,1.35092,0.0289000000000002,3,19.96666667,31.03333333,19.96666667,31.03333333,0.147673037089226,10.107558995314,0.6770696569387,1.50458613352014,-0.209336408276515,0.892738864833874,1.49621119038651,-0.579494609443977,-3.23564852482542,-5.48220976783162,-1.1923863208158,3.03145621343277,-0.706244304832444,-0.927377691791878,0.424103345136334
Han22,112,36.8667,106,field,maize,grain,irrigation and rain,187,500,300,120,80,sandy loam,1.4,8.23333333333333,8.2,0.7,9.3,439.01,11.83,4.271,1.40046,0.02064,3,1.34128,0.01789,3,19.96666667,31.03333333,19.96666667,31.03333333,0.147673037089226,10.107558995314,1.35441161355416,1.50458613352014,-0.209336408276515,0.892738864833874,1.49621119038651,-0.579494609443977,-3.23564852482542,-5.48220976783162,-1.1923863208158,3.03145621343277,-0.691422387768296,-0.927377691791878,0.424103345136334
Han22,113,36.8667,106,field,maize,grain,irrigation and rain,187,500,375,120,80,sandy loam,1.4,8.23333333333333,8.2,0.7,9.3,439.01,11.83,4.792,1.40596,0.0220199999999999,3,1.34266,0.01789,3,19.96666667,31.03333333,19.96666667,31.03333333,0.147673037089226,10.107558995314,2.03175357016963,1.50458613352014,-0.209336408276515,0.892738864833874,1.49621119038651,-0.579494609443977,-3.23564852482542,-5.48220976783162,-1.1923863208158,3.03145621343277,-0.66729045404823,-0.927377691791878,0.424103345136334
Han22,138,31.2,120.8,field,wheat,grain,rainfed,1139,225,125,100,40,silty clay loam,1.25,5.6,20.26,1.81,10.7,493,11.6,15,1.27,0.01,4,1.13,0.02,4,30.26666667,19.9,30.26666667,19.9,4.20028415361046,-0.116191829706852,-0.22605295188192,0.115519806874158,-1.34300147869876,0.0960816842087299,-0.548596020230084,4.26960937254358,10.8771143844117,9.80017934675223,-0.152508930407985,2.68650774622107,-0.194471299701906,0.552413604032269,-0.650317466304582
Han22,139,31.2,120.8,field,wheat,grain,rainfed,1139,225,125,100,40,silty clay loam,1.25,5.6,20.26,1.81,10.7,493,11.6,7.5,1.27,0.01,4,1.09,0.02,4,30.26666667,19.9,30.26666667,19.9,4.20028415361046,-0.116191829706852,-0.22605295188192,0.115519806874158,-1.34300147869876,0.0960816842087299,-0.548596020230084,4.26960937254358,10.8771143844117,9.80017934675223,-0.152508930407985,2.68650774622107,-0.541859980892876,0.552413604032269,-0.650317466304582
Han22,140,31.2,120.8,field,wheat,grain,rainfed,1139,225,125,100,40,silty clay loam,1.25,5.6,20.26,1.81,10.7,493,11.6,7.5,1.26,0.01,4,1.15,0.01,4,30.26666667,19.9,30.26666667,19.9,4.20028415361046,-0.116191829706852,-0.22605295188192,0.115519806874158,-1.34300147869876,0.0960816842087299,-0.548596020230084,4.26960937254358,10.8771143844117,9.80017934675223,-0.152508930407985,2.68650774622107,-0.541859980892876,0.552413604032269,-0.650317466304582
Han22,141,31.2,120.8,field,wheat,grain,rainfed,1139,225,125,100,40,silty clay loam,1.25,5.6,20.26,1.81,10.7,493,11.6,15,1.26,0.01,4,1.11,0.01,4,30.26666667,19.9,30.26666667,19.9,4.20028415361046,-0.116191829706852,-0.22605295188192,0.115519806874158,-1.34300147869876,0.0960816842087299,-0.548596020230084,4.26960937254358,10.8771143844117,9.80017934675223,-0.152508930407985,2.68650774622107,-0.194471299701906,0.552413604032269,-0.650317466304582
Han22,161,40.85,111.7333,field,tomato,vegetable,irrigation and rain,28.57327638,105,408,163,300,sandy loam,1.39,7.85,6.66,0.95,9.8,471.7,7.1,10,1.51296,0.0059800000000001,3,1.39934,0.0239199999999999,3,16.2,39.56666667,16.2,39.56666667,-0.526740724776791,-4.5774649169887,2.32978403108043,4.49107873580899,6.02582147904584,0.839628386125531,1.19854938124612,-1.19870025888517,-0.0570983200422862,-0.0242136554802409,-0.562758762148796,-4.06248400357304,-0.42606375382922,-1.46853114349449,1.24761151287918
Han22,162,40.85,111.7333,field,tomato,vegetable,irrigation and rain,28.57327638,105,408,163,300,sandy loam,1.39,7.85,6.66,0.95,9.8,471.7,7.1,20,1.51296,0.0059800000000001,3,1.32159,0.0299,3,16.2,39.56666667,16.2,39.56666667,-0.526740724776791,-4.5774649169887,2.32978403108043,4.49107873580899,6.02582147904584,0.839628386125531,1.19854938124612,-1.19870025888517,-0.0570983200422862,-0.0242136554802409,-0.562758762148796,-4.06248400357304,0.0371211544254073,-1.46853114349449,1.24761151287918
Han22,163,40.85,111.7333,field,tomato,vegetable,irrigation and rain,28.57327638,105,408,163,300,sandy loam,1.39,7.85,6.66,0.95,9.8,471.7,7.1,40,1.51296,0.0059800000000001,3,1.19003,0.00597999999999987,3,16.2,39.56666667,16.2,39.56666667,-0.526740724776791,-4.5774649169887,2.32978403108043,4.49107873580899,6.02582147904584,0.839628386125531,1.19854938124612,-1.19870025888517,-0.0570983200422862,-0.0242136554802409,-0.562758762148796,-4.06248400357304,0.963490970934661,-1.46853114349449,1.24761151287918
