meta_analytical_study,studyid,sources,country,lat,lon,experiment_type,crop,crop_type,water_management,rain,irr,n_fer,p_fer,k_fer,texture,sbd,sph,soc,stn,scn,bph,btc,btn,bcn,brate,yc_mean,yc_sd,yc_n,yr_mean,yr_sd,yr_n,rain_scaled,irr_scaled,n_fer_scaled,p_fer_scaled,k_fer_scaled,sbd_scaled,sph_scaled,soc_scaled,stn_scaled,scn_scaled,bph_scaled,btc_scaled,btn_scaled,bcn_scaled,brate_scaled
Han22,1,Dai  et al. (2021),China,35.200000000000003,107.66670000000001,field,maize,grain,rainfed,725,225,150,75,80,loam,1.4,6.27,9.4,0.95,10.75,9.8,585,8.45,60.5527123848516,14,8049.1,530.3310517,3,8603.1,514.8267102,3,0.668028364083048,-0.0571257815809997,-0.434860965672503,-0.868068385953647,-0.140877564154201,-0.422054989371615,-0.205756758186494,-0.0935789177722162,-0.0364134809697117,-0.050196580850936,0.308933895588106,-0.215692948539179,0.0525641651425646,-0.0538254866784276,-0.278167049364257
Han22,6,Yang  et al. (2022）,China,40.683300000000003,107.3,field,maize,grain,irrigation and rain,89.9,501.5,339,192,17,sandy loam,1.46,8.5,9.4,0.95,10.75,9,4720,0.7,67.4285714285714,45,12010,320,3,14050,790,3,-1.26587689029394,3.73983599696115,1.48658210126418,2.75376433018481,-1.80676992596439,0.309666408632431,1.55237367821846,-0.0935789177722162,-0.0364134809697117,-0.050196580850936,-0.699628052000988,4.96010629173952,-3.03431548905398,0.262393813987369,1.83007585447688
Han22,7,Yang  et al. (2022）,China,40.683300000000003,107.3,field,maize,grain,irrigation and rain,89.9,501.5,339,192,17,sandy loam,1.46,8.5,9.4,0.95,10.75,9,4720,0.7,67.4285714285714,30,12010,320,3,14280,1170,3,-1.26587689029394,3.73983599696115,1.48658210126418,2.75376433018481,-1.80676992596439,0.309666408632431,1.55237367821846,-0.0935789177722162,-0.0364134809697117,-0.050196580850936,-0.699628052000988,4.96010629173952,-3.03431548905398,0.262393813987369,0.809958320360199
Han22,8,Yang  et al. (2022）,China,40.683300000000003,107.3,field,maize,grain,irrigation and rain,89.9,501.5,339,192,17,sandy loam,1.46,8.5,9.4,0.95,10.75,9,4720,0.7,67.4285714285714,15,12010,320,3,14580,1430,3,-1.26587689029394,3.73983599696115,1.48658210126418,2.75376433018481,-1.80676992596439,0.309666408632431,1.55237367821846,-0.0935789177722162,-0.0364134809697117,-0.050196580850936,-0.699628052000988,4.96010629173952,-3.03431548905398,0.262393813987369,-0.210159213756478
Han22,9,Yang  et al. (2022）,China,40.683300000000003,107.3,field,maize,grain,irrigation and rain,119.1,501.5,339,192,17,sandy loam,1.46,8.5,9.4,0.95,10.75,9,4720,0.7,67.4285714285714,30,11880,870,3,12370,570,3,-1.17696170618465,3.73983599696115,1.48658210126418,2.75376433018481,-1.80676992596439,0.309666408632431,1.55237367821846,-0.0935789177722162,-0.0364134809697117,-0.050196580850936,-0.699628052000988,4.96010629173952,-3.03431548905398,0.262393813987369,0.809958320360199
Han22,10,Yang  et al. (2022）,China,40.683300000000003,107.3,field,maize,grain,irrigation and rain,119.1,501.5,339,192,17,sandy loam,1.46,8.5,9.4,0.95,10.75,9,4720,0.7,67.4285714285714,45,11880,870,3,12180,890,3,-1.17696170618465,3.73983599696115,1.48658210126418,2.75376433018481,-1.80676992596439,0.309666408632431,1.55237367821846,-0.0935789177722162,-0.0364134809697117,-0.050196580850936,-0.699628052000988,4.96010629173952,-3.03431548905398,0.262393813987369,1.83007585447688
Han22,11,Yang  et al. (2022）,China,40.683300000000003,107.3,field,maize,grain,irrigation and rain,119.1,501.5,339,192,17,sandy loam,1.46,8.5,9.4,0.95,10.75,9,4720,0.7,67.4285714285714,15,11880,870,3,12670,1210,3,-1.17696170618465,3.73983599696115,1.48658210126418,2.75376433018481,-1.80676992596439,0.309666408632431,1.55237367821846,-0.0935789177722162,-0.0364134809697117,-0.050196580850936,-0.699628052000988,4.96010629173952,-3.03431548905398,0.262393813987369,-0.210159213756478
Han22,12,Yang  et al. (2022）,China,40.683300000000003,107.3,field,maize,grain,irrigation and rain,89.9,375.4,339,192,17,sandy loam,1.46,8.5,9.4,0.95,10.75,9,4720,0.7,67.4285714285714,45,12800,1100,3,14470,1500,3,-1.26587689029394,2.00820171025531,1.48658210126418,2.75376433018481,-1.80676992596439,0.309666408632431,1.55237367821846,-0.0935789177722162,-0.0364134809697117,-0.050196580850936,-0.699628052000988,4.96010629173952,-3.03431548905398,0.262393813987369,1.83007585447688
Han22,13,Yang  et al. (2022）,China,40.683300000000003,107.3,field,maize,grain,irrigation and rain,89.9,375.4,339,192,17,sandy loam,1.46,8.5,9.4,0.95,10.75,9,4720,0.7,67.4285714285714,30,12800,1100,3,14530,1800,3,-1.26587689029394,2.00820171025531,1.48658210126418,2.75376433018481,-1.80676992596439,0.309666408632431,1.55237367821846,-0.0935789177722162,-0.0364134809697117,-0.050196580850936,-0.699628052000988,4.96010629173952,-3.03431548905398,0.262393813987369,0.809958320360199
Han22,14,Yang  et al. (2022）,China,40.683300000000003,107.3,field,maize,grain,irrigation and rain,89.9,375.4,339,192,17,sandy loam,1.46,8.5,9.4,0.95,10.75,9,4720,0.7,67.4285714285714,15,12800,1100,3,14930,2120,3,-1.26587689029394,2.00820171025531,1.48658210126418,2.75376433018481,-1.80676992596439,0.309666408632431,1.55237367821846,-0.0935789177722162,-0.0364134809697117,-0.050196580850936,-0.699628052000988,4.96010629173952,-3.03431548905398,0.262393813987369,-0.210159213756478
Han22,15,Yang  et al. (2022）,China,40.683300000000003,107.3,field,maize,grain,irrigation and rain,119.1,375.4,339,192,17,sandy loam,1.46,8.5,9.4,0.95,10.75,9,4720,0.7,67.4285714285714,30,11900,1410,3,12710,1070,3,-1.17696170618465,2.00820171025531,1.48658210126418,2.75376433018481,-1.80676992596439,0.309666408632431,1.55237367821846,-0.0935789177722162,-0.0364134809697117,-0.050196580850936,-0.699628052000988,4.96010629173952,-3.03431548905398,0.262393813987369,0.809958320360199
Han22,16,Yang  et al. (2022）,China,40.683300000000003,107.3,field,maize,grain,irrigation and rain,119.1,375.4,339,192,17,sandy loam,1.46,8.5,9.4,0.95,10.75,9,4720,0.7,67.4285714285714,15,11900,1410,3,12970,1230,3,-1.17696170618465,2.00820171025531,1.48658210126418,2.75376433018481,-1.80676992596439,0.309666408632431,1.55237367821846,-0.0935789177722162,-0.0364134809697117,-0.050196580850936,-0.699628052000988,4.96010629173952,-3.03431548905398,0.262393813987369,-0.210159213756478
Han22,17,Yang  et al. (2022）,China,40.683300000000003,107.3,field,maize,grain,irrigation and rain,119.1,375.4,339,192,17,sandy loam,1.46,8.5,9.4,0.95,10.75,9,4720,0.7,67.4285714285714,45,11900,1410,3,12310,1230,3,-1.17696170618465,2.00820171025531,1.48658210126418,2.75376433018481,-1.80676992596439,0.309666408632431,1.55237367821846,-0.0935789177722162,-0.0364134809697117,-0.050196580850936,-0.699628052000988,4.96010629173952,-3.03431548905398,0.262393813987369,1.83007585447688
Han22,19,Agb et al.(2017),China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,421,83,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,25,10251.8,449.6,3,12679.9,359.7,3,-0.257663963630073,-2.00710253584135,-0.604300389564626,0.937688666252136,1.26940168393908,-1.03182282104165,0.921654239149419,-2.01667572226782,-1.82051503765166,-1.1114886778283,0.435004139036743,-0.363143770910359,-0.963118817851135,0.803135729684347,0.469919142321307
Han22,20,Agb et al.(2017),China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,421,83,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,50,10251.8,449.6,3,13759,449.6,3,-0.257663963630073,-2.00710253584135,-0.604300389564626,0.937688666252136,1.26940168393908,-1.03182282104165,0.921654239149419,-2.01667572226782,-1.82051503765166,-1.1114886778283,0.435004139036743,-0.363143770910359,-0.963118817851135,0.803135729684347,2.17011503251577
Han22,21,Agb et al.(2017),China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,421,100.9,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,25,9288.7,502.089999999999,3,10711.3,418.4,3,-0.257663963630073,-1.76129560695923,-0.604300389564626,0.937688666252136,1.26940168393908,-1.03182282104165,0.921654239149419,-2.01667572226782,-1.82051503765166,-1.1114886778283,0.435004139036743,-0.363143770910359,-0.963118817851135,0.803135729684347,0.469919142321307
Han22,22,Agb et al.(2017),China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,421,100.9,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,50,9288.7,502.089999999999,3,11882.8,753.2,3,-0.257663963630073,-1.76129560695923,-0.604300389564626,0.937688666252136,1.26940168393908,-1.03182282104165,0.921654239149419,-2.01667572226782,-1.82051503765166,-1.1114886778283,0.435004139036743,-0.363143770910359,-0.963118817851135,0.803135729684347,2.17011503251577
Han22,23,Agb et al.(2017),China,31.95,118.83329999999999,field,tomato,vegetable,irrigation,421,108.2,133.333333333333,133.333333333333,133.333333333333,loam,1.35,7.7,1.3,0.18,7.22222222222222,9.9,467.2,5.9,79.1864406779661,25,15197.8,629.499999999998,3,18345.3,179.9,3,-0.257663963630073,-1.66105032311345,-0.604300389564626,0.937688666252136,1.26940168393908,-1.03182282104165,0.921654239149419,-2.01667572226782,-1.82051503765166,-1.1114886778283,0.435004139036743,-0.363143770910359,-0.963118817851135,0.803135729684347,0.469919142321307
